pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1722585214541 1722585214567 26 329237.770000000018626 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.286450540327365
1722585214595 1722585214622 27 329237.770000000018626 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.286450540327365
1722585214650 1722585214670 20 329237.770000000018626 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.286450540327365
1722585214704 1722585214720 16 329237.770000000018626 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288020865415262
1722585214759 1722585214774 15 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288020865415262
1722585214813 1722585214830 17 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288020865415262
1722585214872 1722585214886 14 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288020865415262
1722585214926 1722585214941 15 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288139512897812
1722585214981 1722585214998 17 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288139512897812
1722585215035 1722585215049 14 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288139512897812
1722585215090 1722585215107 17 329237.770000000018626 3463456.379999999888241 0.288197492735563 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.288139512897812
1722585215144 1722585215162 18 329237.770000000018626 3463456.379999999888241 0.287761160422565 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.287695029897207
1722585215198 1722585215224 26 329237.770000000018626 3463456.379999999888241 0.287761160422565 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.287695029897207
1722585215252 1722585215267 15 329237.770000000018626 3463456.379999999888241 0.287761160422565 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.287695029897207
1722585215306 1722585215322 16 329237.770000000018626 3463456.379999999888241 0.287761160422565 0.000000000000000 5C422503D 0 -72 329237.773610914533492 3463456.386296086478978 0.287695029897207
1722585215361 1722585215377 16 329237.780000000027940 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.783130379859358 3463456.386141207534820 0.286255464876869
1722585215415 1722585215442 27 329237.780000000027940 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.783130379859358 3463456.386141207534820 0.286255464876869
1722585215470 1722585215486 16 329237.780000000027940 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.792649840353988 3463456.385986329521984 0.286255464876869
1722585215524 1722585215542 18 329237.789999999979045 3463456.379999999888241 0.286452163483569 0.000000000000000 5C422503D 0 -72 329237.802169305738062 3463456.385831450112164 0.287322716261171
1722585215579 1722585215600 21 329237.799999999988358 3463456.379999999888241 0.287324828109566 0.000000000000000 5C422503D 0 -72 329237.821388589800335 3463456.396607229486108 0.287322716261171
1722585215632 1722585215650 18 329237.820000000006985 3463456.390000000130385 0.287324828109566 0.000000000000000 5C422503D 0 -72 329237.830908052739687 3463456.396452351007611 0.287322716261171
1722585215687 1722585215701 14 329237.830000000016298 3463456.390000000130385 0.287324828109566 0.120000000000000 5C422503D 0 -72 329237.859646799683105 3463456.407073251903057 0.290453941659004
1722585215741 1722585215757 16 329237.850000000034925 3463456.399999999906868 0.290597320457056 0.260000000000000 5C422503D 0 -72 329237.888205188326538 3463456.406608615536243 0.290453941659004
1722585215796 1722585215811 15 329237.890000000013970 3463456.410000000149012 0.290597320457056 0.420000000000000 5C422503D 0 -72 329237.897905011894181 3463456.417539274320006 0.290453941659004
1722585215850 1722585215872 22 329237.919999999983702 3463456.419999999925494 0.290597320457056 0.540000000000000 5C422503D 0 -72 329237.926643758779392 3463456.428160174749792 0.290453941659004
1722585215904 1722585215920 16 329237.970000000030268 3463456.430000000167638 0.290597320457056 0.680000000000000 5C422503D 0 -72 329237.974421431194060 3463456.438471317756921 0.290453941659004
1722585215962 1722585215977 15 329238.010000000009313 3463456.439999999944121 0.287324828109566 0.760000000000000 5C422503D 0 -72 329238.012679643230513 3463456.448937341570854 0.287155740611633
1722585216016 1722585216035 19 329238.049999999988358 3463456.450000000186265 0.287324828109566 0.880000000000000 5C422503D 0 -72 329238.050937852589414 3463456.459403363987803 0.287155740611633
1722585216070 1722585216084 14 329238.109999999986030 3463456.479999999981374 0.287324828109566 0.960000000000000 5C422503D 0 -72 329238.117934808542486 3463456.480490289162844 0.287155740611633
1722585216125 1722585216140 15 329238.169999999983702 3463456.500000000000000 0.291688151239552 1.120000000000000 5C422503D 0 -72 329238.223189975484274 3463456.512043237220496 0.291652092737206
1722585216179 1722585216194 15 329238.220000000030268 3463456.510000000242144 0.291688151239552 1.220000000000000 5C422503D 0 -72 329238.318925679137465 3463456.543751065153629 0.291652092737206
1722585216233 1722585216249 16 329238.309999999997672 3463456.540000000037253 0.291688151239552 1.360000000000000 5C422503D 0 -72 329238.395442098961212 3463456.564683112781495 0.291652092737206
1722585216288 1722585216302 14 329238.390000000013970 3463456.560000000055879 0.291688151239552 1.460000000000000 5C422503D 0 -72 329238.443219770211726 3463456.574994259513915 0.291652092737206
1722585216342 1722585216356 14 329238.440000000002328 3463456.570000000298023 0.291688151239552 1.620000000000000 5C422503D 0 -72 329238.529436009819619 3463456.606856966391206 0.292351969767256
1722585216397 1722585216412 15 329238.520000000018626 3463456.600000000093132 0.292560815865549 1.680000000000000 5C422503D 0 -72 329238.634691174142063 3463456.638409919105470 0.292351969767256
1722585216451 1722585216466 15 329238.729999999981374 3463456.669999999925494 0.292560815865549 1.960000000000000 5C422503D 0 -72 329238.730426875175908 3463456.670117751229554 0.292351969767256
1722585216505 1722585216522 17 329238.830000000016298 3463456.700000000186265 0.292342649709050 2.100000000000000 5C422503D 0 -72 329238.835682035714854 3463456.701670704409480 0.292281266479257
1722585216559 1722585216575 16 329238.950000000011642 3463456.729999999981374 0.292342649709050 2.180000000000000 5C422503D 0 -72 329238.950456660531927 3463456.733068782836199 0.292281266479257
1722585216613 1722585216634 21 329239.080000000016298 3463456.770000000018626 0.292342649709050 2.320000000000000 5C422503D 0 -72 329239.084450566675514 3463456.775242642965168 0.292281266479257
1722585216668 1722585216685 17 329239.150000000023283 3463456.790000000037253 0.292342649709050 2.480000000000000 5C422503D 0 -72 329239.151447520474903 3463456.796329574193805 0.292281266479257
1722585216722 1722585216742 20 329239.270000000018626 3463456.820000000298023 0.292342649709050 2.540000000000000 5C422503D 0 -72 329239.275741605553776 3463456.827572777401656 0.292281266479257
1722585216776 1722585216794 18 329239.419999999983702 3463456.879999999888241 0.294960643587042 2.720000000000000 5C422503D 0 -72 329239.428954790404532 3463456.880522424355149 0.294957344914755
1722585216831 1722585216847 16 329239.559999999997672 3463456.919999999925494 0.294960643587042 2.800000000000000 5C422503D 0 -72 329239.706462058005854 3463456.964715282432735 0.294957344914755
1722585216885 1722585216902 17 329239.700000000011642 3463456.959999999962747 0.294960643587042 2.960000000000000 5C422503D 0 -72 329239.878714165242855 3463457.017355181742460 0.298372709914813
1722585216939 1722585216954 15 329239.869999999995343 3463457.010000000242144 0.298451302091030 3.060000000000000 5C422503D 0 -72 329240.041266450018156 3463457.059064423665404 0.298372709914813
1722585216993 1722585217010 17 329240.039999999979045 3463457.050000000279397 0.298451302091030 3.160000000000000 5C422503D 0 -72 329240.194479629513808 3463457.112014080863446 0.298372709914813
1722585217052 1722585217067 15 329240.190000000002328 3463457.109999999869615 0.298451302091030 3.280000000000000 5C422503D 0 -72 329240.395470473449677 3463457.175274896435440 0.298372709914813
1722585217106 1722585217124 18 329240.390000000013970 3463457.169999999925494 0.298451302091030 3.420000000000000 5C422503D 0 -72 329240.567722570733167 3463457.227914805989712 0.303830598831894
1722585217160 1722585217177 17 329240.669999999983702 3463457.250000000000000 0.303905456003513 3.700000000000000 5C422503D 0 -72 329240.672977721667849 3463457.259467776864767 0.303830598831894
1722585217214 1722585217232 18 329240.770000000018626 3463457.290000000037253 0.303905456003513 3.800000000000000 5C422503D 0 -72 329240.778232871845830 3463457.291020750999451 0.303830598831894
1722585217269 1722585217284 15 329241.080000000016298 3463457.390000000130385 0.303905456003513 3.960000000000000 5C422503D 0 -72 329241.084659211337566 3463457.396920090541244 0.303830598831894
1722585217323 1722585217339 16 329241.270000000018626 3463457.439999999944121 0.307832446820500 4.120000000000000 5C422503D 0 -72 329241.275950224604458 3463457.449250260833651 0.307622536071362
1722585217377 1722585217392 15 329241.470000000030268 3463457.510000000242144 0.307832446820500 4.220000000000000 5C422503D 0 -72 329241.476941054454073 3463457.512511095497757 0.307622536071362
1722585217432 1722585217446 14 329241.640000000013970 3463457.560000000055879 0.307832446820500 4.360000000000000 5C422503D 0 -72 329241.649193139979616 3463457.565151023212820 0.307622536071362
1722585217486 1722585217506 20 329241.890000000013970 3463457.640000000130385 0.307832446820500 4.480000000000000 5C422503D 0 -72 329242.070394066860899 3463457.702448497526348 0.310892235892048
1722585217540 1722585217556 16 329242.070000000006985 3463457.700000000186265 0.311104939167989 4.640000000000000 5C422503D 0 -72 329242.300123624387197 3463457.776330260094255 0.310892235892048
1722585217595 1722585217612 17 329242.299999999988358 3463457.770000000018626 0.311104939167989 4.720000000000000 5C422503D 0 -72 329242.529853178479243 3463457.850212025921792 0.310892235892048
1722585217653 1722585217667 14 329242.520000000018626 3463457.850000000093132 0.311104939167989 4.880000000000000 5C422503D 0 -72 329242.817060203175060 3463457.945335625670850 0.310892235892048
1722585217708 1722585217725 17 329242.809999999997672 3463457.939999999944121 0.311104939167989 5.060000000000000 5C422503D 0 -72 329243.056489563430659 3463458.030148067045957 0.320277482145260
1722585217763 1722585217777 14 329243.049999999988358 3463458.030000000260770 0.320486083897459 5.140000000000000 5C422503D 0 -72 329243.353035688749515 3463458.114031270146370 0.320277482145260
1722585217817 1722585217832 15 329243.350000000034925 3463458.109999999869615 0.320486083897459 5.320000000000000 5C422503D 0 -72 329243.611503962252755 3463458.198533976450562 0.320277482145260
1722585217872 1722585217887 15 329243.609999999986030 3463458.189999999944121 0.320486083897459 5.420000000000000 5C422503D 0 -72 329243.927449703332968 3463458.304278523661196 0.320277482145260
1722585217926 1722585217946 20 329244.190000000002328 3463458.390000000130385 0.323540410088449 5.640000000000000 5C422503D 0 -72 329244.195617779274471 3463458.399711906444281 0.323472865846396
1722585217981 1722585217997 16 329244.350000000034925 3463458.439999999944121 0.323540410088449 5.800000000000000 5C422503D 0 -72 329244.358170024352148 3463458.441421212628484 0.323472865846396
1722585218035 1722585218050 15 329244.570000000006985 3463458.510000000242144 0.323540410088449 5.860000000000000 5C422503D 0 -72 329244.578380083956290 3463458.515457896515727 0.323472865846396
1722585218089 1722585218107 18 329244.919999999983702 3463458.629999999888241 0.323540410088449 5.920000000000000 5C422503D 0 -72 329244.923064536997117 3463458.631823390256613 0.323472865846396
1722585218147 1722585218164 17 329245.150000000023283 3463458.700000000186265 0.329430896313930 6.040000000000000 5C422503D 0 -72 329245.564475416147616 3463458.843157697003335 0.329241004491312
1722585218201 1722585218220 19 329245.559999999997672 3463458.839999999850988 0.329430896313930 6.100000000000001 5C422503D 0 -72 329245.918679306108970 3463458.959368350915611 0.329241004491312
1722585218255 1722585218274 19 329245.910000000032596 3463458.950000000186265 0.329430896313930 6.220000000000000 5C422503D 0 -72 329246.215405727620237 3463459.054337169975042 0.329241004491312
1722585218309 1722585218327 18 329246.210000000020955 3463459.050000000279397 0.329430896313930 6.300000000000000 5C422503D 0 -72 329246.454835031181574 3463459.139149685855955 0.328735679312982
1722585218363 1722585218385 22 329246.450000000011642 3463459.129999999888241 0.328776397844432 6.360000000000000 5C422503D 0 -72 329246.703603441477753 3463459.212721800897270 0.328735679312982
1722585218417 1722585218431 14 329246.700000000011642 3463459.209999999962747 0.328776397844432 6.480000000000000 5C422503D 0 -72 329246.952552196744364 3463459.297379456926137 0.328735679312982
1722585218471 1722585218492 21 329246.950000000011642 3463459.290000000037253 0.328776397844432 6.560000000000000 5C422503D 0 -72 329247.383452779497020 3463459.445607805158943 0.328735679312982
1722585218526 1722585218541 15 329247.380000000004657 3463459.439999999944121 0.328776397844432 6.660000000000000 5C422503D 0 -72 329247.708917898824438 3463459.551197591703385 0.336244452274205
1722585218580 1722585218597 17 329247.700000000011642 3463459.550000000279397 0.336412213321907 6.740000000000000 5C422503D 0 -72 329247.967386096366681 3463459.635700401850045 0.336244452274205
1722585218634 1722585218650 16 329248.419999999983702 3463459.780000000260770 0.336412213321907 6.860000000000000 5C422503D 0 -72 329248.426845027017407 3463459.783464181236923 0.336244452274205
1722585218688 1722585218704 16 329248.559999999997672 3463459.820000000298023 0.336412213321907 6.980000000000000 5C422503D 0 -72 329248.560838852310553 3463459.825638159643859 0.336244452274205
1722585218742 1722585218760 18 329249.160000000032596 3463460.020000000018626 0.336194047165408 7.120000000000000 5C422503D 0 -72 329249.163991385779809 3463460.026506619993597 0.336021695901773
1722585218797 1722585218815 18 329249.440000000002328 3463460.109999999869615 0.336194047165408 7.200000000000000 5C422503D 0 -72 329249.441498478525318 3463460.110699728131294 0.336021695901773
1722585218852 1722585218867 15 329249.780000000027940 3463460.220000000204891 0.336194047165408 7.340000000000000 5C422503D 0 -72 329249.786182817129884 3463460.227065376937389 0.336021695901773
1722585218906 1722585218927 21 329250.070000000006985 3463460.320000000298023 0.336194047165408 7.440000000000000 5C422503D 0 -72 329250.360596581362188 3463460.417312970850617 0.337518909147304
1722585218961 1722585218977 16 329250.359999999986030 3463460.410000000149012 0.337721210260903 7.580000000000000 5C422503D 0 -72 329250.724139472818933 3463460.522283378522843 0.337518909147304
1722585219015 1722585219030 15 329250.720000000030268 3463460.520000000018626 0.337721210260903 7.660000000000000 5C422503D 0 -72 329251.241075759404339 3463460.691289149224758 0.337518909147304
1722585219069 1722585219087 18 329251.239999999990687 3463460.689999999944121 0.337721210260903 7.800000000000000 5C422503D 0 -72 329251.614498774986714 3463460.818275793921202 0.337518909147304
1722585219123 1722585219142 19 329251.609999999986030 3463460.810000000055879 0.337721210260903 7.880000000000000 5C422503D 0 -72 329252.073777250654530 3463460.954954192508012 0.333552805501779
1722585219177 1722585219197 20 329252.070000000006985 3463460.950000000186265 0.333576053287416 8.020000000000000 5C422503D 0 -72 329252.456719705718569 3463461.081785999704152 0.333552805501779
