pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721810042851 1721810042880 29 329237.910000 3463455.100000 0.417352 2.340000 5C4225714 8 -59 
1721810042905 1721810042929 24 329238.000000 3463455.150000 0.417352 2.520000 5C4225714 8 -59 
1721810042961 1721810042980 19 329238.170000 3463455.210000 0.417352 2.600000 5C4225714 8 -59 
1721810043016 1721810043036 20 329238.300000 3463455.260000 0.417352 2.780000 5C4225714 8 -59 
1721810043071 1721810043099 28 329238.470000 3463455.330000 0.411461 2.920000 5C4225714 8 -59 
1721810043139 1721810043156 17 329238.760000 3463455.440000 0.411461 3.280000 5C4225714 8 -59 
1721810043194 1721810043212 18 329238.860000 3463455.480000 0.411461 3.380000 5C4225714 8 -59 
1721810043252 1721810043275 23 329239.020000 3463455.540000 0.409280 3.600000 5C4225714 8 -59 
1721810043307 1721810043326 19 329239.090000 3463455.570000 0.409280 3.720000 5C4225714 8 -59 
1721810043362 1721810043388 26 329239.370000 3463455.680000 0.409280 3.900000 5C4225714 8 -59 
1721810043417 1721810043436 19 329239.510000 3463455.730000 0.409280 4.020000 5C4225714 8 -59 
1721810043472 1721810043495 23 329239.780000 3463455.840000 0.404916 4.220000 5C4225714 8 -59 
1721810043527 1721810043546 19 329239.980000 3463455.920000 0.404916 4.420000 5C4225714 8 -59 
1721810043582 1721810043598 16 329240.280000 3463456.030000 0.404916 4.560000 5C4225714 8 -59 
1721810043637 1721810043654 17 329240.460000 3463456.100000 0.402735 4.800000 5C4225714 8 -59 
1721810043692 1721810043710 18 329240.870000 3463456.260000 0.402735 5.060000 5C4225714 8 -59 
1721810043747 1721810043767 20 329241.010000 3463456.320000 0.402735 5.320000 5C4225714 8 -59 
1721810043802 1721810043818 16 329241.410000 3463456.480000 0.399680 5.460000 5C4225714 8 -59 
1721810043857 1721810043877 20 329241.670000 3463456.570000 0.399680 5.640000 5C4225714 8 -59 
