pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1722323788756 1722323788788 32 329249.530000 3463458.160000 0.346884 1.140000 5C4225714 10 -63 
1722323788810 1722323788833 23 329249.600000 3463458.200000 0.346884 1.200000 5C4225714 10 -63 
1722323788864 1722323788885 21 329249.730000 3463458.240000 0.346884 1.340000 5C4225714 10 -63 
1722323788919 1722323788939 20 329249.820000 3463458.270000 0.349720 1.400000 5C4225714 10 -63 
1722323788973 1722323788993 20 329249.880000 3463458.290000 0.349720 1.460000 5C4225714 10 -63 
1722323789027 1722323789048 21 329249.960000 3463458.320000 0.349720 1.540000 5C4225714 10 -63 
1722323789086 1722323789108 22 329250.060000 3463458.350000 0.349284 1.620000 5C4225714 10 -63 
1722323789140 1722323789157 17 329250.060000 3463458.350000 0.349284 1.680000 5C4225714 10 -63 
1722323789194 1722323789211 17 329250.190000 3463458.410000 0.349284 1.720000 5C4225714 10 -63 
1722323789249 1722323789269 20 329250.240000 3463458.420000 0.349284 1.780000 5C4225714 10 -63 
1722323789303 1722323789330 27 329250.320000 3463458.450000 0.349284 1.840000 5C4225714 10 -63 
1722323789357 1722323789374 17 329250.440000 3463458.490000 0.349284 1.900000 5C4225714 10 -63 
1722323789411 1722323789430 19 329250.590000 3463458.550000 0.349284 2.000000 5C4225714 10 -63 
1722323789466 1722323789484 18 329250.690000 3463458.580000 0.349284 2.080000 5C4225714 10 -63 
1722323789520 1722323789545 25 329250.930000 3463458.660000 0.348848 2.280000 5C4225714 10 -63 
1722323789575 1722323789594 19 329251.040000 3463458.700000 0.348848 2.440000 5C4225714 10 -63 
1722323789629 1722323789650 21 329251.060000 3463458.720000 0.348848 2.520000 5C4225714 10 -63 
1722323789683 1722323789699 16 329251.190000 3463458.760000 0.348848 2.660000 5C4225714 10 -63 
1722323789737 1722323789753 16 329251.400000 3463458.830000 0.349939 2.780000 5C4225714 10 -63 
1722323789792 1722323789812 20 329251.540000 3463458.890000 0.349939 2.960000 5C4225714 10 -63 
1722323789846 1722323789867 21 329251.710000 3463458.940000 0.349939 3.120000 5C4225714 10 -63 
1722323789901 1722323789917 16 329251.840000 3463458.980000 0.347975 3.240000 5C4225714 10 -63 
1722323789955 1722323789971 16 329252.030000 3463459.050000 0.347975 3.420000 5C4225714 10 -63 
1722323790009 1722323790025 16 329252.230000 3463459.130000 0.347975 3.540000 5C4225714 10 -63 
1722323790063 1722323790086 23 329252.310000 3463459.150000 0.347975 3.740000 5C4225714 10 -63 
1722323790120 1722323790140 20 329252.710000 3463459.290000 0.346448 4.020000 5C4225714 10 -63 
1722323790178 1722323790206 28 329252.910000 3463459.360000 0.346448 4.240000 5C4225714 10 -63 
1722323790232 1722323790252 20 329253.110000 3463459.420000 0.346448 4.360000 5C4225714 10 -63 
1722323790287 1722323790305 18 329253.360000 3463459.520000 0.346012 4.580000 5C4225714 10 -63 
1722323790342 1722323790367 25 329253.590000 3463459.590000 0.346012 4.700000 5C4225714 10 -63 
1722323790396 1722323790424 28 329253.870000 3463459.690000 0.346012 4.880000 5C4225714 10 -63 
1722323790450 1722323790466 16 329253.950000 3463459.720000 0.346012 5.040000 5C4225714 10 -63 
1722323790505 1722323790525 20 329254.250000 3463459.820000 0.342957 5.240000 5C4225714 10 -63 
1722323790559 1722323790579 20 329254.500000 3463459.910000 0.342957 5.400000 5C4225714 10 -63 
1722323790612 1722323790633 21 329254.810000 3463460.020000 0.342957 5.620000 5C4225714 10 -63 
1722323790667 1722323790687 20 329254.980000 3463460.070000 0.342957 5.760000 5C4225714 10 -63 
1722323790721 1722323790737 16 329255.360000 3463460.200000 0.343830 5.940000 5C4225714 10 -63 
1722323790776 1722323790796 20 329255.650000 3463460.300000 0.343830 6.100000 5C4225714 10 -63 
1722323790830 1722323790850 20 329256.000000 3463460.420000 0.343830 6.340000 5C4225714 10 -63 
1722323790885 1722323790906 21 329256.310000 3463460.530000 0.343830 6.480000 5C4225714 10 -63 
1722323790939 1722323790961 22 329257.020000 3463460.750000 0.339030 6.860000 5C4225714 10 -63 
1722323790994 1722323791010 16 329257.290000 3463460.840000 0.339030 7.060000 5C4225714 10 -63 
1722323791048 1722323791066 18 329257.550000 3463460.930000 0.339030 7.280000 5C4225714 10 -63 
1722323791102 1722323791120 18 329257.690000 3463460.970000 0.339030 7.440000 5C4225714 10 -63 
1722323791156 1722323791177 21 329258.340000 3463461.180000 0.334667 7.640000 5C4225714 10 -63 
1722323791213 1722323791230 17 329258.700000 3463461.300000 0.334667 7.780000 5C4225714 10 -63 
1722323791271 1722323791292 21 329259.070000 3463461.410000 0.334667 7.980000 5C4225714 10 -63 
1722323791326 1722323791346 20 329259.530000 3463461.560000 0.328995 8.160000 5C4225714 10 -63 
1722323791380 1722323791395 15 329259.940000 3463461.690000 0.328995 8.400000 5C4225714 10 -63 
1722323791434 1722323791456 22 329260.100000 3463461.740000 0.328995 8.520000 5C4225714 10 -63 
1722323791489 1722323791507 18 329261.080000 3463462.050000 0.321359 8.920000 5C4225714 10 -63 
1722323791543 1722323791563 20 329261.260000 3463462.100000 0.321359 9.000000 5C4225714 10 -63 
1722323791597 1722323791617 20 329261.950000 3463462.310000 0.321359 9.140000 5C4225714 10 -63 
1722323791652 1722323791670 18 329262.480000 3463462.480000 0.321359 9.340000 5C4225714 10 -63 
1722323791706 1722323791722 16 329262.750000 3463462.560000 0.314377 9.460000 5C4225714 10 -63 
1722323791761 1722323791778 17 329263.300000 3463462.720000 0.314377 9.700000 5C4225714 10 -63 
1722323791815 1722323791832 17 329263.860000 3463462.890000 0.314377 9.920000 5C4225714 10 -63 
1722323791869 1722323791886 17 329264.340000 3463463.020000 0.314377 10.140000 5C4225714 10 -63 
1722323791923 1722323791940 17 329264.730000 3463463.140000 0.306742 10.280000 5C4225714 10 -63 
1722323791978 1722323791994 16 329265.120000 3463463.240000 0.306742 10.500000 5C4225714 10 -63 
1722323792032 1722323792053 21 329265.730000 3463463.420000 0.306742 10.720000 5C4225714 10 -63 
1722323792087 1722323792109 22 329266.230000 3463463.570000 0.306742 10.900000 5C4225714 10 -63 
1722323792141 1722323792158 17 329266.860000 3463463.740000 0.295615 11.040000 5C4225714 10 -63 
1722323792196 1722323792212 16 329267.400000 3463463.880000 0.295615 11.240000 5C4225714 10 -63 
1722323792250 1722323792266 16 329268.600000 3463464.210000 0.295615 11.660000 5C4225714 10 -63 
1722323792305 1722323792330 25 329269.050000 3463464.320000 0.281871 11.780000 5C4225714 10 -63 
1722323792362 1722323792379 17 329269.520000 3463464.440000 0.281871 12.000000 5C4225714 10 -63 
