pub_time(ms)	sub_time(ms)	delay(ms)	utmX(m)	utmY(m)	heading(rad)	velocity(m/s)	cellid(db)	sinr(db)	rsrp(db)
1.7212E+12	1.7212E+12	32	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	23	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	18	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.79	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	19	328985.25	3463455.8	2.553853	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.79	2.555817	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.8	2.555817	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.555817	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.555817	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.553635	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.8	2.553635	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	16	328985.25	3463455.8	2.553635	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	24	328985.25	3463455.8	2.554508	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	19	328985.25	3463455.8	2.554508	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	19	328985.25	3463455.8	2.554508	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.554508	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	19	328985.25	3463455.79	2.552326	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	15	328985.25	3463455.8	2.552326	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	17	328985.25	3463455.8	2.552326	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	22	328985.25	3463455.79	2.552326	0	5C4225714	6	-71
1.7212E+12	1.7212E+12	18	328985.25	3463455.8	2.551453	0	5C4225714	6	-71
