pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721032857449 1721032857475 26 328961.760000 3463469.550000 2.726859 4.740000 5C422503D 15 -98 
1721032857504 1721032857524 20 328961.760000 3463469.550000 2.726859 4.740000 5C422503D 15 -98 
1721032857559 1721032857577 18 328961.180000 3463469.790000 2.734931 4.780000 5C422503D 15 -98 
1721032857613 1721032857627 14 328961.000000 3463469.860000 2.734931 4.760000 5C422503D 15 -98 
1721032857667 1721032857682 15 328960.690000 3463469.990000 2.748239 4.760000 5C422503D 15 -98 
1721032857722 1721032857737 15 328960.460000 3463470.070000 2.748239 4.760000 5C422503D 15 -98 
1721032857776 1721032857792 16 328960.380000 3463470.100000 2.748239 4.760000 5C422503D 15 -98 
1721032857831 1721032857847 16 328960.020000 3463470.240000 2.748239 4.760000 5C422503D 15 -98 
1721032857885 1721032857900 15 328959.750000 3463470.340000 2.757620 4.760000 5C422503D 15 -98 
1721032857939 1721032857955 16 328959.620000 3463470.400000 2.757620 4.720000 5C422503D 15 -98 
1721032857993 1721032858007 14 328959.480000 3463470.450000 2.757620 4.720000 5C422503D 15 -98 
1721032858047 1721032858062 15 328959.170000 3463470.560000 2.757620 4.700000 5C422503D 15 -98 
1721032858102 1721032858117 15 328958.900000 3463470.660000 2.770274 4.700000 5C422503D 15 -98 
1721032858157 1721032858172 15 328958.770000 3463470.720000 2.770274 4.700000 5C422503D 15 -98 
1721032858211 1721032858231 20 328958.500000 3463470.810000 2.770274 4.700000 5C422503D 15 -98 
1721032858266 1721032858280 14 328958.020000 3463470.980000 2.783800 4.680000 5C422503D 15 -98 
1721032858320 1721032858337 17 328957.890000 3463471.030000 2.783800 4.660000 5C422503D 15 -98 
1721032858375 1721032858391 16 328957.480000 3463471.170000 2.783800 4.660000 5C422503D 15 -98 
1721032858429 1721032858447 18 328957.310000 3463471.230000 2.783800 4.640000 5C422503D 15 -98 
1721032858483 1721032858497 14 328957.080000 3463471.300000 2.793399 4.640000 5C422503D 15 -98 
1721032858537 1721032858557 20 328956.910000 3463471.360000 2.793399 4.640000 5C422503D 15 -98 
1721032858591 1721032858607 16 328956.690000 3463471.440000 2.793399 4.640000 5C422503D 15 -98 
1721032858645 1721032858660 15 328956.420000 3463471.520000 2.793399 4.640000 5C422503D 15 -98 
1721032858699 1721032858715 16 328956.250000 3463471.580000 2.807362 4.640000 5C422503D 15 -98 
1721032858754 1721032858775 21 328956.120000 3463471.620000 2.807362 4.640000 5C422503D 15 -98 
1721032858810 1721032858827 17 328955.710000 3463471.750000 2.807362 4.640000 5C422503D 15 -98 
1721032858865 1721032858881 16 328955.490000 3463471.820000 2.818052 4.640000 5C422503D 15 -98 
1721032858919 1721032858932 13 328955.180000 3463471.920000 2.818052 4.640000 5C422503D 15 -98 
1721032858973 1721032858987 14 328954.920000 3463472.000000 2.818052 4.640000 5C422503D 15 -98 
1721032859030 1721032859051 21 328954.740000 3463472.060000 2.818052 4.640000 5C422503D 15 -98 
1721032859084 1721032859097 13 328954.520000 3463472.120000 2.830706 4.640000 5C422503D 15 -98 
1721032859139 1721032859155 16 328954.200000 3463472.210000 2.830706 4.640000 5C422503D 15 -98 
1721032859194 1721032859213 19 328953.930000 3463472.290000 2.830706 4.640000 5C422503D 15 -98 
1721032859248 1721032859265 17 328953.710000 3463472.350000 2.830706 4.640000 5C422503D 15 -98 
1721032859303 1721032859319 16 328953.530000 3463472.400000 2.845541 4.640000 5C422503D 15 -98 
1721032859357 1721032859372 15 328953.350000 3463472.440000 2.845541 4.640000 5C422503D 15 -98 
1721032859411 1721032859430 19 328952.990000 3463472.550000 2.845541 4.640000 5C422503D 15 -98 
1721032859470 1721032859487 17 328952.760000 3463472.610000 2.856449 4.640000 5C422503D 15 -98 
1721032859538 1721032859555 17 328952.400000 3463472.700000 2.856449 4.640000 5C422503D 15 -98 
1721032859605 1721032859623 18 328952.140000 3463472.780000 2.856449 4.640000 5C422503D 15 -100 
1721032859659 1721032859676 17 328951.960000 3463472.820000 2.856449 4.640000 5C422503D 13 -100 
1721032859713 1721032859732 19 328951.730000 3463472.880000 2.868012 4.640000 5C422503D 13 -100 
1721032859767 1721032859782 15 328951.460000 3463472.950000 2.868012 4.640000 5C422503D 13 -100 
1721032859822 1721032859837 15 328951.050000 3463473.060000 2.868012 4.640000 5C422503D 13 -100 
1721032859876 1721032859891 15 328950.690000 3463473.140000 2.878484 4.640000 5C422503D 13 -100 
1721032859931 1721032859946 15 328950.600000 3463473.170000 2.878484 4.640000 5C422503D 13 -100 
1721032859985 1721032859999 14 328950.330000 3463473.240000 2.878484 4.640000 5C422503D 13 -100 
1721032860039 1721032860054 15 328950.330000 3463473.240000 2.878484 4.640000 5C422503D 13 -100 
1721032860094 1721032860109 15 328949.920000 3463473.330000 2.893101 4.640000 5C422503D 13 -100 
1721032860148 1721032860162 14 328949.690000 3463473.380000 2.893101 4.640000 5C422503D 13 -100 
1721032860203 1721032860217 14 328949.430000 3463473.440000 2.893101 4.640000 5C422503D 13 -100 
1721032860257 1721032860272 15 328949.250000 3463473.490000 2.893101 4.640000 5C422503D 13 -100 
1721032860311 1721032860329 18 328948.880000 3463473.570000 2.900955 4.640000 5C422503D 13 -100 
1721032860366 1721032860380 14 328948.700000 3463473.610000 2.900955 4.640000 5C422503D 13 -100 
1721032860420 1721032860435 15 328948.560000 3463473.630000 2.900955 4.640000 5C422503D 13 -100 
1721032860475 1721032860496 21 328948.190000 3463473.720000 2.917318 4.640000 5C422503D 13 -100 
1721032860529 1721032860542 13 328947.830000 3463473.790000 2.917318 4.640000 5C422503D 13 -100 
1721032860583 1721032860597 14 328947.830000 3463473.790000 2.917318 4.640000 5C422503D 13 -100 
1721032860638 1721032860651 13 328947.330000 3463473.900000 2.925826 4.640000 5C422503D 13 -100 
1721032860692 1721032860707 15 328947.190000 3463473.920000 2.925826 4.640000 5C422503D 13 -100 
1721032860746 1721032860760 14 328946.910000 3463473.980000 2.925826 4.640000 5C422503D 13 -100 
1721032860801 1721032860814 13 328946.640000 3463474.030000 2.925826 4.640000 5C422503D 13 -100 
1721032860855 1721032860869 14 328946.360000 3463474.080000 2.935426 4.640000 5C422503D 13 -100 
1721032860909 1721032860924 15 328946.180000 3463474.110000 2.935426 4.640000 5C422503D 13 -100 
1721032860964 1721032860980 16 328945.940000 3463474.160000 2.935426 4.640000 5C422503D 13 -100 
1721032861018 1721032861032 14 328945.620000 3463474.210000 2.935426 4.680000 5C422503D 13 -100 
1721032861073 1721032861087 14 328945.480000 3463474.240000 2.950479 4.680000 5C422503D 13 -100 
1721032861127 1721032861142 15 328945.250000 3463474.280000 2.950479 4.680000 5C422503D 13 -100 
1721032861182 1721032861197 15 328945.010000 3463474.320000 2.950479 4.680000 5C422503D 13 -100 
1721032861236 1721032861249 13 328944.830000 3463474.360000 2.950479 4.700000 5C422503D 13 -100 
1721032861291 1721032861304 13 328944.550000 3463474.410000 2.958115 4.700000 5C422503D 13 -100 
1721032861345 1721032861369 24 328944.030000 3463474.490000 2.958115 4.720000 5C422503D 13 -100 
1721032861399 1721032861417 18 328943.750000 3463474.540000 2.958115 4.720000 5C422503D 13 -100 
1721032861454 1721032861467 13 328943.510000 3463474.580000 2.966405 4.740000 5C422503D 13 -100 
1721032861508 1721032861522 14 328943.270000 3463474.630000 2.966405 4.740000 5C422503D 13 -100 
1721032861562 1721032861577 15 328943.130000 3463474.640000 2.966405 4.740000 5C422503D 13 -100 
1721032861617 1721032861632 15 328942.940000 3463474.680000 2.966405 4.740000 5C422503D 13 -100 
1721032861671 1721032861686 15 328942.760000 3463474.700000 2.966405 4.740000 5C422503D 13 -100 
1721032861726 1721032861740 14 328942.380000 3463474.760000 2.973168 4.740000 5C422503D 13 -100 
1721032861784 1721032861805 21 328942.190000 3463474.790000 2.973168 4.740000 5C422503D 13 -100 
1721032861838 1721032861852 14 328942.050000 3463474.810000 2.973168 4.740000 5C422503D 13 -100 
1721032861892 1721032861906 14 328941.670000 3463474.880000 2.983422 4.760000 5C422503D 13 -100 
1721032861947 1721032861964 17 328941.380000 3463474.910000 2.983422 4.740000 5C422503D 13 -100 
1721032862001 1721032862014 13 328940.910000 3463474.980000 2.983422 4.720000 5C422503D 13 -100 
