pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721035702526 1721035702558 32 328960.340000 3463468.630000 2.776601 11.220000 5C422503D 15 -85 
1721035702583 1721035702606 23 328960.020000 3463468.740000 2.776601 11.180000 5C422503D 15 -85 
1721035702638 1721035702654 16 328959.490000 3463468.940000 2.776601 11.140000 5C422503D 15 -85 
1721035702693 1721035702711 18 328958.440000 3463469.320000 2.776601 11.160000 5C422503D 15 -85 
1721035702748 1721035702769 21 328957.820000 3463469.540000 2.791654 11.140000 5C422503D 15 -85 
1721035702803 1721035702819 16 328957.820000 3463469.540000 2.791654 11.140000 5C422503D 15 -85 
1721035702858 1721035702871 13 328956.650000 3463469.940000 2.791654 11.120000 5C422503D 15 -85 
1721035702913 1721035702926 13 328956.120000 3463470.120000 2.810853 11.120000 5C422503D 15 -85 
1721035702968 1721035702991 23 328955.590000 3463470.290000 2.810853 11.060000 5C422503D 15 -85 
1721035703023 1721035703046 23 328955.280000 3463470.380000 2.810853 11.040000 5C422503D 15 -85 
1721035703078 1721035703096 18 328954.540000 3463470.620000 2.810853 11.020000 5C422503D 15 -85 
1721035703133 1721035703157 24 328953.910000 3463470.810000 2.836160 11.020000 5C422503D 15 -85 
1721035703188 1721035703206 18 328953.370000 3463470.970000 2.836160 11.000000 5C422503D 15 -85 
1721035703243 1721035703264 21 328953.060000 3463471.060000 2.836160 11.000000 5C422503D 15 -85 
1721035703298 1721035703319 21 328952.530000 3463471.210000 2.836160 11.000000 5C422503D 15 -85 
1721035703353 1721035703367 14 328951.570000 3463471.480000 2.860595 10.960000 5C422503D 15 -85 
1721035703409 1721035703424 15 328951.570000 3463471.480000 2.860595 10.960000 5C422503D 15 -85 
1721035703475 1721035703489 14 328950.300000 3463471.800000 2.860595 10.980000 5C422503D 15 -85 
1721035703529 1721035703544 15 328949.770000 3463471.930000 2.884157 10.900000 5C422503D 15 -85 
1721035703584 1721035703598 14 328949.350000 3463472.030000 2.884157 10.900000 5C422503D 15 -85 
1721035703639 1721035703654 15 328948.920000 3463472.130000 2.884157 10.900000 5C422503D 15 -85 
1721035703694 1721035703708 14 328948.180000 3463472.300000 2.884157 10.880000 5C422503D 15 -85 
1721035703749 1721035703764 15 328947.540000 3463472.440000 2.912300 10.820000 5C422503D 15 -85 
1721035703805 1721035703819 14 328947.010000 3463472.550000 2.912300 10.800000 5C422503D 15 -85 
1721035703860 1721035703874 14 328945.840000 3463472.790000 2.912300 10.800000 5C422503D 15 -85 
1721035703915 1721035703929 14 328945.520000 3463472.840000 2.937389 10.780000 5C422503D 15 -85 
1721035703970 1721035703988 18 328945.520000 3463472.840000 2.937389 10.780000 5C422503D 15 -85 
1721035704025 1721035704039 14 328944.570000 3463473.020000 2.937389 10.780000 5C422503D 15 -85 
1721035704080 1721035704094 14 328943.940000 3463473.130000 2.937389 10.720000 5C422503D 15 -85 
1721035704135 1721035704148 13 328943.400000 3463473.230000 2.958115 10.720000 5C422503D 15 -85 
1721035704190 1721035704202 12 328942.880000 3463473.310000 2.958115 10.700000 5C422503D 15 -85 
1721035704245 1721035704258 13 328942.350000 3463473.400000 2.958115 10.700000 5C422503D 15 -85 
1721035704300 1721035704317 17 328941.710000 3463473.500000 2.958115 10.680000 5C422503D 15 -85 
1721035704355 1721035704369 14 328941.180000 3463473.570000 2.980368 10.660000 5C422503D 15 -85 
1721035704410 1721035704422 12 328940.660000 3463473.660000 2.980368 10.640000 5C422503D 15 -85 
1721035704465 1721035704478 13 328940.130000 3463473.740000 2.980368 10.640000 5C422503D 15 -85 
1721035704521 1721035704538 17 328938.970000 3463473.880000 3.001748 10.560000 5C422503D 15 -85 
1721035704588 1721035704602 14 328938.550000 3463473.930000 3.001748 10.580000 5C422503D 15 -85 
1721035704643 1721035704658 15 328937.910000 3463474.000000 3.001748 10.580000 5C422503D 15 -85 
1721035704698 1721035704714 16 328937.700000 3463474.030000 3.001748 10.560000 5C422503D 15 -85 
1721035704753 1721035704768 15 328937.080000 3463474.100000 3.027928 10.560000 5C422503D 15 -85 
1721035704808 1721035704824 16 328936.540000 3463474.150000 3.027928 10.560000 5C422503D 15 -85 
1721035704863 1721035704879 16 328935.910000 3463474.200000 3.027928 10.560000 5C422503D 15 -85 
1721035704917 1721035704933 16 328935.380000 3463474.250000 3.027928 10.540000 5C422503D 15 -85 
1721035704972 1721035704986 14 328934.860000 3463474.290000 3.048872 10.500000 5C422503D 15 -85 
1721035705027 1721035705049 22 328934.330000 3463474.330000 3.048872 10.480000 5C422503D 15 -85 
1721035705083 1721035705098 15 328933.490000 3463474.380000 3.048872 10.480000 5C422503D 15 -85 
1721035705138 1721035705153 15 328932.650000 3463474.420000 3.075925 10.440000 5C422503D 15 -85 
1721035705193 1721035705207 14 328932.130000 3463474.440000 3.075925 10.480000 5C422503D 15 -85 
1721035705248 1721035705262 14 328931.500000 3463474.460000 3.075925 10.420000 5C422503D 15 -85 
1721035705303 1721035705316 13 328930.990000 3463474.480000 3.100359 10.380000 5C422503D 15 -85 
1721035705358 1721035705374 16 328930.880000 3463474.490000 3.100359 10.380000 5C422503D 15 -85 
1721035705413 1721035705429 16 328929.940000 3463474.500000 3.100359 10.380000 5C422503D 15 -85 
1721035705469 1721035705484 15 328929.430000 3463474.500000 3.100359 10.340000 5C422503D 15 -85 
1721035705542 1721035705567 25 328928.280000 3463474.490000 3.131339 10.360000 5C422503D 15 -85 
