pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721642525305 1721642525335 30 328972.490000 3463463.690000 2.650282 6.880000 5C4225714 8 -70 
1721642525322 1721642525355 33 328972.490000 3463463.690000 2.650282 6.880000 5C4225714 8 -70 
1721642525339 1721642525375 36 328972.080000 3463463.930000 2.639810 6.900000 5C4225714 8 -70 
1721642525356 1721642525395 39 328972.080000 3463463.930000 2.639810 6.900000 5C4225714 8 -70 
1721642525373 1721642525395 22 328971.760000 3463464.110000 2.639810 6.920000 5C4225714 8 -70 
1721642525388 1721642525415 27 328971.760000 3463464.110000 2.639810 6.920000 5C4225714 8 -70 
1721642525405 1721642525435 30 328971.760000 3463464.110000 2.639810 6.920000 5C4225714 8 -70 
1721642525421 1721642525456 35 328971.760000 3463464.110000 2.639810 6.920000 5C4225714 8 -70 
1721642525443 1721642525475 32 328971.460000 3463464.270000 2.639810 6.880000 5C4225714 8 -70 
1721642525459 1721642525491 32 328971.460000 3463464.270000 2.639810 6.880000 5C4225714 8 -70 
1721642525476 1721642525512 36 328971.460000 3463464.270000 2.639810 6.880000 5C4225714 8 -70 
1721642525493 1721642525532 39 328971.410000 3463464.300000 2.639810 6.880000 5C4225714 8 -70 
1721642525508 1721642525532 24 328971.410000 3463464.300000 2.639810 6.880000 5C4225714 8 -70 
1721642525525 1721642525551 26 328971.410000 3463464.300000 2.639810 6.880000 5C4225714 8 -70 
1721642525542 1721642525566 24 328970.800000 3463464.630000 2.650064 6.860000 5C4225714 8 -70 
1721642525559 1721642525581 22 328970.800000 3463464.630000 2.650064 6.860000 5C4225714 8 -70 
1721642525576 1721642525602 26 328970.800000 3463464.630000 2.650064 6.860000 5C4225714 8 -70 
1721642525593 1721642525622 29 328970.500000 3463464.800000 2.650064 6.840000 5C4225714 8 -70 
1721642525610 1721642525638 28 328970.500000 3463464.800000 2.650064 6.840000 5C4225714 8 -70 
1721642525625 1721642525654 29 328970.500000 3463464.800000 2.650064 6.840000 5C4225714 8 -70 
1721642525641 1721642525673 32 328970.250000 3463464.930000 2.650064 6.840000 5C4225714 8 -70 
1721642525657 1721642525693 36 328970.250000 3463464.930000 2.650064 6.840000 5C4225714 8 -70 
1721642525678 1721642525713 35 328970.250000 3463464.930000 2.650064 6.840000 5C4225714 8 -70 
1721642525700 1721642525733 33 328969.950000 3463465.090000 2.655300 6.840000 5C4225714 8 -70 
1721642525735 1721642525753 18 328969.720000 3463465.230000 2.655300 6.820000 5C4225714 8 -70 
1721642525751 1721642525770 19 328969.720000 3463465.230000 2.655300 6.820000 5C4225714 8 -70 
1721642525769 1721642525789 20 328969.720000 3463465.230000 2.655300 6.820000 5C4225714 8 -70 
1721642525785 1721642525810 25 328969.720000 3463465.230000 2.655300 6.820000 5C4225714 8 -70 
1721642525800 1721642525830 30 328969.350000 3463465.420000 2.655300 6.820000 5C4225714 8 -70 
1721642525816 1721642525847 31 328969.350000 3463465.420000 2.655300 6.820000 5C4225714 8 -70 
1721642525833 1721642525871 38 328969.100000 3463465.550000 2.655300 6.820000 5C4225714 8 -70 
1721642525850 1721642525895 45 328969.100000 3463465.550000 2.655300 6.820000 5C4225714 8 -70 
1721642525866 1721642525895 29 328969.100000 3463465.550000 2.655300 6.820000 5C4225714 8 -70 
1721642525882 1721642525913 31 328968.740000 3463465.740000 2.668827 6.820000 5C4225714 8 -70 
1721642525899 1721642525930 31 328968.740000 3463465.740000 2.668827 6.820000 5C4225714 8 -70 
1721642525916 1721642525948 32 328968.740000 3463465.740000 2.668827 6.820000 5C4225714 8 -70 
1721642525933 1721642525975 42 328968.380000 3463465.930000 2.668827 6.840000 5C4225714 8 -70 
1721642525951 1721642526002 51 328968.380000 3463465.930000 2.668827 6.840000 5C4225714 8 -70 
1721642525967 1721642526002 35 328968.380000 3463465.930000 2.668827 6.840000 5C4225714 8 -70 
1721642525984 1721642526021 37 328968.380000 3463465.930000 2.668827 6.840000 5C4225714 8 -70 
1721642526001 1721642526021 20 328968.320000 3463465.970000 2.668827 6.840000 5C4225714 8 -70 
1721642526018 1721642526037 19 328968.320000 3463465.970000 2.668827 6.840000 5C4225714 8 -70 
1721642526035 1721642526057 22 328967.760000 3463466.240000 2.668827 6.840000 5C4225714 8 -70 
1721642526052 1721642526077 25 328967.760000 3463466.240000 2.668827 6.840000 5C4225714 8 -70 
1721642526069 1721642526099 30 328967.760000 3463466.240000 2.668827 6.840000 5C4225714 8 -70 
1721642526085 1721642526117 32 328967.760000 3463466.240000 2.668827 6.840000 5C4225714 8 -70 
1721642526102 1721642526134 32 328967.460000 3463466.400000 2.666427 6.860000 5C4225714 8 -70 
1721642526119 1721642526155 36 328967.460000 3463466.400000 2.666427 6.860000 5C4225714 8 -70 
1721642526136 1721642526175 39 328967.090000 3463466.600000 2.666427 6.860000 5C4225714 8 -70 
1721642526153 1721642526175 22 328967.090000 3463466.600000 2.666427 6.860000 5C4225714 8 -70 
1721642526170 1721642526195 25 328967.090000 3463466.600000 2.666427 6.860000 5C4225714 8 -70 
1721642526186 1721642526222 36 328966.780000 3463466.750000 2.666427 6.880000 5C4225714 8 -70 
1721642526203 1721642526242 39 328966.780000 3463466.750000 2.666427 6.880000 5C4225714 8 -70 
1721642526219 1721642526242 23 328966.780000 3463466.750000 2.666427 6.880000 5C4225714 8 -70 
1721642526235 1721642526262 27 328966.600000 3463466.840000 2.666427 6.940000 5C4225714 8 -70 
1721642526251 1721642526282 31 328966.600000 3463466.840000 2.666427 6.940000 5C4225714 8 -70 
