pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1722586342392 1722586342418 26 328959.580000000016298 3463474.689999999944121 -3.011565624316216 0.260000000000000 5C422503D 12 -89 328959.563282650487963 3463474.699375995900482 -3.011597895454082
1722586342447 1722586342466 19 328959.559999999997672 3463474.689999999944121 -3.011565624316216 0.380000000000000 5C422503D 12 -89 328959.563282650487963 3463474.699375995900482 -3.011597895454082
1722586342502 1722586342516 14 328959.530000000027940 3463474.689999999944121 -3.011565624316216 0.440000000000000 5C422503D 12 -89 328959.534724278084468 3463474.699841391760856 -3.011597895454082
1722586342556 1722586342571 15 328959.510000000009313 3463474.700000000186265 -3.011565624316216 0.540000000000000 5C422503D 12 -89 328959.458387962484267 3463474.689996902365237 -3.014194491595444
1722586342610 1722586342628 18 328959.450000000011642 3463474.680000000167638 -3.014183618194207 0.640000000000000 5C422503D 12 -89 328959.439349045103882 3463474.690307166427374 -3.014194491595444
1722586342665 1722586342683 18 328959.429999999993015 3463474.689999999944121 -3.014183618194207 0.760000000000000 5C422503D 12 -89 328959.353493276634254 3463474.680617808829993 -3.014194491595444
1722586342719 1722586342733 14 328959.350000000034925 3463474.680000000167638 -3.014183618194207 0.940000000000000 5C422503D 12 -89 328959.296195875504054 3463474.670463056769222 -3.015607562517737
1722586342773 1722586342788 15 328959.289999999979045 3463474.669999999925494 -3.015492615133203 1.060000000000000 5C422503D 12 -89 328959.229379016906023 3463474.660463436972350 -3.015607562517737
1722586342832 1722586342850 18 328959.220000000030268 3463474.660000000149012 -3.015492615133203 1.260000000000000 5C422503D 12 -89 328959.162562158133369 3463474.650463817641139 -3.015607562517737
1722586342887 1722586342916 29 328959.160000000032596 3463474.649999999906868 -3.015492615133203 1.380000000000000 5C422503D 12 -89 328959.124484330415726 3463474.651084347162396 -3.015607562517737
1722586342941 1722586342966 25 328959.010000000009313 3463474.629999999888241 -3.018328775167694 1.700000000000000 5C422503D 12 -89 328959.019408984808251 3463474.630619711242616 -3.018443827271982
1722586342995 1722586343016 21 328958.940000000002328 3463474.620000000111759 -3.018328775167694 1.880000000000000 5C422503D 12 -89 328958.943072668043897 3463474.620775226037949 -3.018443827271982
1722586343050 1722586343065 15 328958.789999999979045 3463474.600000000093132 -3.018328775167694 2.060000000000000 5C422503D 12 -89 328958.799919493729249 3463474.600931122433394 -3.018443827271982
1722586343112 1722586343135 23 328958.780000000027940 3463474.600000000093132 -3.018328775167694 2.220000000000000 5C422503D 12 -89 328958.571091197954956 3463474.582483216654509 -3.014318584505261
1722586343166 1722586343186 20 328958.570000000006985 3463474.580000000074506 -3.014183618194207 2.360000000000000 5C422503D 12 -89 328958.446976937411819 3463474.562328853644431 -3.014318584505261
1722586343221 1722586343246 25 328958.440000000002328 3463474.560000000055879 -3.014183618194207 2.520000000000000 5C422503D 12 -89 328958.332562788622454 3463474.553104903548956 -3.014318584505261
1722586343275 1722586343297 22 328958.330000000016298 3463474.550000000279397 -3.014183618194207 2.640000000000000 5C422503D 12 -89 328958.170370696519967 3463474.533571076113731 -3.014318584505261
1722586343330 1722586343346 16 328958.169999999983702 3463474.530000000260770 -3.014183618194207 2.820000000000000 5C422503D 12 -89 328957.989139685872942 3463474.514347516931593 -3.019688055042436
1722586343384 1722586343400 16 328957.979999999981374 3463474.510000000242144 -3.019637772106689 2.920000000000000 5C422503D 12 -89 328957.798389216477517 3463474.495279094669968 -3.019688055042436
1722586343439 1722586343459 20 328957.630000000004657 3463474.470000000204891 -3.019637772106689 3.240000000000000 5C422503D 12 -89 328957.636197121930309 3463474.475745274219662 -3.019688055042436
1722586343493 1722586343508 15 328957.630000000004657 3463474.470000000204891 -3.019637772106689 3.240000000000000 5C422503D 12 -89 328957.502563400019426 3463474.455746056511998 -3.019688055042436
1722586343548 1722586343563 15 328957.500000000000000 3463474.450000000186265 -3.019637772106689 3.380000000000000 5C422503D 12 -89 328957.292774010275025 3463474.436987910885364 -3.022487039563860
1722586343603 1722586343620 17 328957.169999999983702 3463474.419999999925494 -3.022473932141180 3.680000000000000 5C422503D 12 -89 328957.178359858400654 3463474.427763973362744 -3.022487039563860
1722586343657 1722586343678 21 328956.979999999981374 3463474.399999999906868 -3.022473932141180 3.840000000000000 5C422503D 12 -89 328956.987609387608245 3463474.408695566002280 -3.022487039563860
1722586343711 1722586343726 15 328956.820000000006985 3463474.379999999888241 -3.022473932141180 3.940000000000000 5C422503D 12 -89 328956.825417289393954 3463474.389161758124828 -3.022487039563860
