pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1723534982875 1723534982904 29 328959.549999999988358 3463474.669999999925494 -3.106686068549907 2.020000000000000 5C4225714 6 -72 328959.429648936551530 3463474.679376752581447 -3.106768622623523
1723534982929 1723534982953 24 328959.419999999983702 3463474.669999999925494 -3.106686068549907 2.020000000000000 5C4225714 6 -72 328959.305895986733958 3463474.681393470149487 -3.106768622623523
1723534982983 1723534983002 19 328959.299999999988358 3463474.680000000167638 -3.106686068549907 2.020000000000000 5C4225714 6 -72 328959.210701406991575 3463474.682944792322814 -3.105225053433059
1723534983038 1723534983063 25 328959.210000000020955 3463474.680000000167638 -3.105158905454411 2.020000000000000 5C4225714 6 -72 328959.105987374437973 3463474.684651247225702 -3.105225053433059
1723534983092 1723534983111 19 328959.100000000034925 3463474.680000000167638 -3.105158905454411 2.020000000000000 5C4225714 6 -72 328958.982234422117472 3463474.686667968519032 -3.105225053433059
1723534983147 1723534983164 17 328958.979999999981374 3463474.680000000167638 -3.105158905454411 2.040000000000000 5C4225714 6 -72 328958.868000929651316 3463474.688529558479786 -3.105225053433059
1723534983201 1723534983218 17 328958.859999999986030 3463474.680000000167638 -3.105158905454411 2.060000000000000 5C4225714 6 -72 328958.810884184669703 3463474.689460354857147 -3.108093816217977
1723534983255 1723534983273 18 328958.809999999997672 3463474.680000000167638 -3.107995065488902 2.080000000000000 5C4225714 6 -72 328958.725389721337706 3463474.701942094601691 -3.108093816217977
1723534983309 1723534983327 18 328958.720000000030268 3463474.700000000186265 -3.107995065488902 2.100000000000000 5C4225714 6 -72 328958.573078396497294 3463474.704424218740314 -3.108093816217977
1723534983364 1723534983381 17 328958.470000000030268 3463474.700000000186265 -3.107995065488902 2.220000000000000 5C4225714 6 -72 328958.477883819025010 3463474.705975547432899 -3.108093816217977
1723534983418 1723534983435 17 328958.470000000030268 3463474.700000000186265 -3.107995065488902 2.220000000000000 5C4225714 6 -72 328958.344611411564983 3463474.708147408906370 -3.120301748563854
1723534983472 1723534983490 18 328958.309999999997672 3463474.700000000186265 -3.120212370252863 2.340000000000000 5C4225714 6 -72 328958.316053036600351 3463474.708612808492035 -3.120301748563854
1723534983527 1723534983541 14 328958.090000000025611 3463474.709999999962747 -3.120212370252863 2.460000000000000 5C4225714 6 -72 328958.097105511405971 3463474.712180871050805 -3.120301748563854
1723534983581 1723534983600 19 328957.940000000002328 3463474.709999999962747 -3.120212370252863 2.520000000000000 5C4225714 6 -72 328957.944794188719243 3463474.714663004502654 -3.120301748563854
1723534983636 1723534983654 18 328957.780000000027940 3463474.720000000204891 -3.123703028756851 2.620000000000000 5C4225714 6 -72 328957.649871653644368 3463474.730557689443231 -3.123891157796920
1723534983690 1723534983708 18 328957.640000000013970 3463474.729999999981374 -3.123703028756851 2.700000000000000 5C4225714 6 -72 328957.564196533639915 3463474.731953892391175 -3.123891157796920
1723534983744 1723534983762 18 328957.559999999997672 3463474.729999999981374 -3.123703028756851 2.800000000000000 5C4225714 6 -72 328957.421404668362811 3463474.734280900098383 -3.123891157796920
1723534983799 1723534983816 17 328957.419999999983702 3463474.729999999981374 -3.123703028756851 2.880000000000000 5C4225714 6 -72 328957.326210090715904 3463474.735832239035517 -3.131575441067724
1723534983861 1723534983879 18 328957.320000000006985 3463474.729999999981374 -3.131557010390826 2.980000000000000 5C4225714 6 -72 328957.078884846239816 3463474.750951270572841 -3.131575441067724
1723534983915 1723534983935 20 328957.070000000006985 3463474.750000000000000 -3.131557010390826 3.060000000000000 5C4225714 6 -72 328956.917054065968841 3463474.753588553518057 -3.131575441067724
1723534983969 1723534983987 18 328956.910000000032596 3463474.750000000000000 -3.131557010390826 3.180000000000000 5C4225714 6 -72 328956.783781655714847 3463474.755760435014963 -3.131575441067724
1723534984024 1723534984050 26 328956.780000000027940 3463474.750000000000000 -3.131557010390826 3.260000000000000 5C4225714 6 -72 328956.584053701721132 3463474.770103805698454 -3.138101785646290
1723534984078 1723534984094 16 328956.369999999995343 3463474.770000000018626 -3.137883828929305 3.440000000000000 5C4225714 6 -72 328956.374625631317031 3463474.773516769986600 -3.138101785646290
1723534984132 1723534984153 21 328956.289999999979045 3463474.770000000018626 -3.137883828929305 3.560000000000000 5C4225714 6 -72 328956.298469971050508 3463474.774757849052548 -3.138101785646290
1723534984187 1723534984213 26 328956.000000000000000 3463474.790000000037253 -3.137883828929305 3.660000000000000 5C4225714 6 -72 328955.813158279517666 3463474.793755285441875 3.136360610277916
1723534984241 1723534984257 16 328955.809999999997672 3463474.790000000037253 3.136574831990309 3.740000000000000 5C4225714 6 -72 328955.813158279517666 3463474.793755285441875 3.136360610277916
1723534984295 1723534984315 20 328955.580000000016298 3463474.800000000279397 3.136574831990309 3.840000000000000 5C4225714 6 -72 328955.375443881028332 3463474.811977067030966 3.136360610277916
1723534984349 1723534984367 18 328955.369999999995343 3463474.810000000055879 3.136574831990309 3.940000000000000 5C4225714 6 -72 328955.299288220761809 3463474.813218153081834 3.136360610277916
1723534984403 1723534984420 17 328955.289999999979045 3463474.810000000055879 3.136574831990309 4.080000000000000 5C4225714 6 -72 328955.090040808136109 3463474.827716688159853 3.132048425295014
1723534984457 1723534984481 24 328955.090000000025611 3463474.820000000298023 3.132211508860324 4.140000000000000 5C4225714 6 -72 328954.795118278241716 3463474.843611452728510 3.132048425295014
1723534984512 1723534984531 19 328954.789999999979045 3463474.839999999850988 3.132211508860324 4.260000000000000 5C4225714 6 -72 328954.576170747750439 3463474.847179589793086 3.132048425295014
1723534984566 1723534984584 18 328954.570000000006985 3463474.839999999850988 3.132211508860324 4.340000000000000 5C4225714 6 -72 328954.347884423390497 3463474.861988415010273 3.132048425295014
1723534984621 1723534984638 17 328954.340000000025611 3463474.859999999869615 3.132211508860324 4.480000000000000 5C4225714 6 -72 328954.167014725506306 3463474.864936012774706 3.125212075334708
1723534984675 1723534984692 17 328954.160000000032596 3463474.859999999869615 3.125230191852346 4.620000000000000 5C4225714 6 -72 328953.881611651391722 3463474.880675666965544 3.125212075334708
1723534984729 1723534984746 17 328953.640000000013970 3463474.879999999888241 3.125230191852346 4.800000000000000 5C4225714 6 -72 328953.643625210737810 3463474.884554096963257 3.125212075334708
1723534984783 1723534984799 16 328953.640000000013970 3463474.879999999888241 3.125230191852346 4.800000000000000 5C4225714 6 -72 328953.348702679621056 3463474.900448902510107 3.117822874880539
1723534984838 1723534984858 20 328953.039999999979045 3463474.899999999906868 3.118030708687869 5.040000000000000 5C4225714 6 -72 328953.044080031162594 3463474.905413309577852 3.117822874880539
1723534984892 1723534984911 19 328952.890000000013970 3463474.910000000149012 3.118030708687869 5.120000000000000 5C4225714 6 -72 328952.891949366021436 3463474.918981063179672 3.117822874880539
1723534984950 1723534984969 19 328952.679999999993015 3463474.919999999925494 3.118030708687869 5.240000000000000 5C4225714 6 -72 328952.682521297771018 3463474.922394101042300 3.117822874880539
1723534985004 1723534985023 19 328952.410000000032596 3463474.930000000167638 3.118030708687869 5.320000000000000 5C4225714 6 -72 328952.254326359601691 3463474.940460873767734 3.120475391371135
1723534985059 1723534985084 25 328952.250000000000000 3463474.939999999944121 3.120648702565861 5.460000000000000 5C4225714 6 -72 328951.750156420748681 3463474.970854322426021 3.120475391371135
1723534985113 1723534985134 21 328951.750000000000000 3463474.970000000204891 3.120648702565861 5.540000000000000 5C4225714 6 -72 328951.578806182660628 3463474.973646827042103 3.120475391371135
1723534985167 1723534985188 21 328951.570000000006985 3463474.970000000204891 3.120648702565861 5.660000000000000 5C4225714 6 -72 328951.236286366009153 3463474.990317387972027 3.120475391371135
1723534985222 1723534985242 20 328951.229999999981374 3463474.990000000223517 3.120648702565861 5.740000000000000 5C4225714 6 -72 328951.122233535454143 3463475.003264608792961 3.110085865213033
1723534985276 1723534985297 21 328951.119999999995343 3463475.000000000000000 3.110176727053895 5.880000000000000 5C4225714 6 -72 328950.522869024425745 3463475.035209511872381 3.110085865213033
1723534985331 1723534985350 19 328950.520000000018626 3463475.030000000260770 3.110176727053895 5.940000000000000 5C4225714 6 -72 328950.284882581327111 3463475.039088019635528 3.110085865213033
