pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1722847001341 1722847001377 36 328958.590000000025611 3463475.510000000242144 -3.133738671955819 0.620000000000000 5C4225714 6 -64 328958.557707797735929 3463475.514134441968054 -3.133916363926961
1722847001446 1722847001471 25 328958.510000000009313 3463475.510000000242144 -3.133738671955819 0.720000000000000 5C4225714 6 -64 328958.472032686811872 3463475.515530638396740 -3.129672351504642
1722847001551 1722847001576 25 328958.419999999983702 3463475.510000000242144 -3.129593514982332 0.840000000000000 5C4225714 6 -64 328958.386357573443092 3463475.516926834825426 -3.129672351504642
1722847001655 1722847001680 25 328958.309999999997672 3463475.510000000242144 -3.132429675016823 0.980000000000000 5C4225714 6 -64 328958.253085176111199 3463475.519098698161542 -3.132492629042939
1722847001763 1722847001778 15 328958.210000000020955 3463475.510000000242144 -3.132429675016823 1.160000000000000 5C4225714 6 -64 328958.119632123853080 3463475.510185017250478 -3.132492629042939
1722847001868 1722847001884 16 328958.080000000016298 3463475.510000000242144 -3.132429675016823 1.300000000000000 5C4225714 6 -64 328958.024437553540338 3463475.511736350599676 -3.135111582852020
1722847001972 1722847001995 23 328957.919999999983702 3463475.510000000242144 -3.135047668894814 1.500000000000000 5C4225714 6 -64 328957.843567872070707 3463475.514683885965496 -3.135111582852020
1722847002077 1722847002095 18 328957.640000000013970 3463475.510000000242144 -3.130248013451830 1.780000000000000 5C4225714 6 -64 328957.643659274443053 3463475.517941692378372 -3.130443071449030
1722847002182 1722847002201 19 328957.520000000018626 3463475.510000000242144 -3.130248013451830 1.920000000000000 5C4225714 6 -64 328957.443750676698983 3463475.521199501585215 -3.130443071449030
1722847002286 1722847002305 19 328957.309999999997672 3463475.520000000018626 -3.131120678077828 2.100000000000000 5C4225714 6 -70 328957.205764251644723 3463475.525077851954848 -3.131286746156151
1722847002390 1722847002411 21 328956.979999999981374 3463475.520000000018626 -3.131120678077828 2.400000000000000 5C4225714 2 -70 328956.986816740012728 3463475.528645938728005 -3.131286746156151
1722847002495 1722847002516 21 328956.679999999993015 3463475.530000000260770 -3.136138499677311 2.600000000000000 5C4225714 2 -70 328956.682194114488084 3463475.533610241021961 -3.136319595040495
1722847002600 1722847002618 18 328956.450000000011642 3463475.520000000018626 -3.136138499677311 2.840000000000000 5C4225714 2 -70 328956.453546489123255 3463475.526247927453369 -3.136319595040495
1722847002705 1722847002722 17 328956.109999999986030 3463475.530000000260770 -3.134611336581816 3.100000000000000 5C4225714 2 -70 328956.110846035415307 3463475.531832785811275 -3.134822364341672
1722847002812 1722847002832 20 328955.770000000018626 3463475.530000000260770 -3.134611336581816 3.380000000000000 5C4225714 2 -70 328955.558717525505926 3463475.540830635931343 -3.135399213112748
1722847002916 1722847002931 15 328955.410000000032596 3463475.540000000037253 -3.135265835051314 3.600000000000000 5C4225714 2 -70 328955.225536527927034 3463475.546260387636721 -3.135399213112748
1722847003020 1722847003049 29 328954.979999999981374 3463475.550000000279397 -3.135265835051314 3.880000000000000 5C4225714 2 -70 328954.825719331740402 3463475.552776102907956 -3.132503293004669
1722847003125 1722847003143 18 328954.530000000027940 3463475.550000000279397 -3.132429675016823 4.200000000000000 5C4225714 2 -70 328954.359265934559517 3463475.560377790592611 -3.132503293004669
1722847003229 1722847003249 20 328954.080000000016298 3463475.560000000055879 -3.132429675016823 4.500000000000000 5C4225714 2 -70 328953.940409821225330 3463475.567203813232481 -3.138328154850274
1722847003334 1722847003351 17 328953.700000000011642 3463475.570000000298023 -3.138320161242304 4.800000000000000 5C4225714 2 -70 328953.407320222060662 3463475.575891502667218 -3.138328154850274
1722847003438 1722847003457 19 328953.150000000023283 3463475.570000000298023 -3.138320161242304 5.060000000000000 5C4225714 2 -70 328952.893269538413733 3463475.584268943406641 3.141178801117557
1722847003542 1722847003559 17 328952.739999999990687 3463475.580000000074506 3.141374487433294 5.340000000000000 5C4225714 2 -70 328952.464893966563977 3463475.591250163037330 3.141178801117557
1722847003646 1722847003663 17 328952.070000000006985 3463475.589999999850988 3.141374487433294 5.620000000000000 5C4225714 2 -70 328951.789012508525047 3463475.602265011984855 3.138557718006790
1722847003751 1722847003769 18 328951.059999999997672 3463475.609999999869615 3.138756493555302 6.080000000000000 5C4225714 2 -70 328951.065533761866391 3463475.614055602811277 3.138557718006790
1722847003855 1722847003872 17 328950.429999999993015 3463475.629999999888241 3.135702167364312 6.340000000000000 5C4225714 2 -70 328950.437430251738988 3463475.635380386374891 3.135642616730231
1722847003960 1722847003977 17 328950.239999999990687 3463475.629999999888241 3.135702167364312 6.420000000000000 5C4225714 2 -70 328949.980496306554414 3463475.642827128525823 3.135642616730231
1722847004065 1722847004082 17 328949.229999999981374 3463475.660000000149012 3.135920333520811 6.800000000000000 5C4225714 2 -70 328949.238159307511523 3463475.666013673413545 3.135739552316887
1722847004170 1722847004187 17 328948.460000000020955 3463475.680000000167638 3.135920333520811 7.060000000000000 5C4225714 2 -70 328948.467263937578537 3463475.689665696118027 3.135739552316887
1722847004274 1722847004292 18 328947.669999999983702 3463475.709999999962747 3.128066351886837 7.220000000000000 5C4225714 2 -70 328947.677329656085931 3463475.713628060650080 3.127931699735043
1722847004379 1722847004396 17 328947.010000000009313 3463475.729999999981374 3.128066351886837 7.420000000000000 5C4225714 2 -70 328946.478239377029240 3463475.755347208585590 3.127931699735043
1722847004483 1722847004501 18 328946.470000000030268 3463475.750000000000000 3.128066351886837 7.620000000000000 5C4225714 2 -70 328945.869174779625610 3463475.776361979078501 3.129393779502731
1722847004587 1722847004607 20 328945.789999999979045 3463475.770000000018626 3.129593514982332 7.740000000000000 5C4225714 2 -70 328945.240890602406580 3463475.786601528525352 3.129393779502731
1722847004691 1722847004707 16 328944.679999999993015 3463475.800000000279397 3.126757354947841 7.900000000000000 5C4225714 2 -70 328944.213150556548499 3463475.825528328306973 3.126542068584605
1722847004796 1722847004812 16 328943.809999999997672 3463475.830000000074506 3.126757354947841 8.020000000000000 5C4225714 2 -70 328943.565827461308800 3463475.836078269407153 3.126542068584605
