pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1711865238551 1711865238575 24 329253.760000 3463434.000000 0.828159 0.000000
1711865238601 1711865238623 22 329253.760000 3463434.000000 0.828159 0.000000
1711865238651 1711865238667 16 329253.760000 3463434.000000 0.828159 0.000000
1711865238701 1711865238715 14 329253.770000 3463434.000000 0.828813 0.000000
1711865238752 1711865238765 13 329253.770000 3463434.000000 0.828813 0.000000
1711865238802 1711865238817 15 329253.770000 3463434.000000 0.828813 0.000000
1711865238852 1711865238875 23 329253.770000 3463434.000000 0.827941 0.000000
1711865238902 1711865238925 23 329253.770000 3463434.000000 0.827941 0.000000
1711865238953 1711865238980 27 329253.770000 3463434.000000 0.827941 0.000000
1711865239003 1711865239017 14 329253.770000 3463434.000000 0.827941 0.000000
1711865239053 1711865239076 23 329253.770000 3463434.000000 0.827941 0.000000
1711865239103 1711865239125 22 329253.770000 3463434.000000 0.828813 0.000000
1711865239154 1711865239181 27 329253.770000 3463434.000000 0.828813 0.000000
1711865239204 1711865239217 13 329253.770000 3463434.000000 0.828813 0.000000
1711865239254 1711865239275 21 329253.770000 3463434.000000 0.828813 0.000000
1711865239304 1711865239326 22 329253.770000 3463434.000000 0.828377 0.000000
1711865239355 1711865239375 20 329253.770000 3463434.000000 0.828377 0.000000
1711865239405 1711865239425 20 329253.770000 3463434.000000 0.828377 0.000000
1711865239455 1711865239475 20 329253.770000 3463434.000000 0.828377 0.000000
1711865239505 1711865239525 20 329253.770000 3463434.000000 0.827941 0.000000
1711865239556 1711865239580 24 329253.770000 3463434.000000 0.827941 0.000000
1711865239606 1711865239620 14 329253.770000 3463434.000000 0.827941 0.000000
1711865239656 1711865239675 19 329253.770000 3463434.000000 0.827941 0.000000
1711865239706 1711865239725 19 329253.770000 3463434.000000 0.828595 0.000000
1711865239757 1711865239785 28 329253.770000 3463434.000000 0.828595 0.000000
1711865239807 1711865239835 28 329253.770000 3463434.000000 0.828595 0.000000
1711865239857 1711865239884 27 329253.780000 3463434.000000 0.828813 0.000000
1711865239907 1711865239935 28 329253.780000 3463434.000000 0.828813 0.000000
1711865239958 1711865239972 14 329253.780000 3463434.000000 0.828813 0.000000
1711865240008 1711865240035 27 329253.780000 3463434.000000 0.828813 0.000000
1711865240058 1711865240075 17 329253.780000 3463434.000000 0.828813 0.000000
1711865240108 1711865240135 27 329253.780000 3463434.000000 0.829031 0.000000
1711865240158 1711865240185 27 329253.780000 3463434.000000 0.829031 0.000000
1711865240209 1711865240222 13 329253.780000 3463434.010000 0.829031 0.000000
1711865240259 1711865240285 26 329253.790000 3463434.010000 0.828377 0.000000
1711865240309 1711865240340 31 329253.790000 3463434.020000 0.828377 0.000000
1711865240359 1711865240379 20 329253.800000 3463434.020000 0.828377 0.000000
1711865240409 1711865240435 26 329253.800000 3463434.020000 0.828377 0.000000
1711865240460 1711865240486 26 329253.810000 3463434.030000 0.828377 0.000000
1711865240510 1711865240535 25 329253.820000 3463434.040000 0.827722 0.000000
1711865240560 1711865240590 30 329253.830000 3463434.050000 0.827722 0.000000
1711865240610 1711865240635 25 329253.840000 3463434.060000 0.827722 0.160000
1711865240661 1711865240686 25 329253.850000 3463434.080000 0.827941 0.180000
1711865240711 1711865240735 24 329253.860000 3463434.090000 0.827941 0.180000
1711865240761 1711865240790 29 329253.870000 3463434.090000 0.827941 0.240000
1711865240811 1711865240827 16 329253.880000 3463434.100000 0.827941 0.260000
1711865240861 1711865240885 24 329253.890000 3463434.120000 0.827941 0.300000
1711865240912 1711865240941 29 329253.910000 3463434.130000 0.828813 0.320000
1711865240962 1711865240977 15 329253.930000 3463434.140000 0.828813 0.340000
1711865241012 1711865241035 23 329253.940000 3463434.150000 0.828813 0.360000
1711865241062 1711865241085 23 329253.960000 3463434.180000 0.827722 0.400000
1711865241113 1711865241140 27 329253.980000 3463434.200000 0.827722 0.420000
1711865241163 1711865241180 17 329253.990000 3463434.210000 0.827722 0.420000
1711865241213 1711865241234 21 329254.010000 3463434.230000 0.827722 0.480000
1711865241263 1711865241285 22 329254.020000 3463434.240000 0.827722 0.520000
1711865241313 1711865241340 27 329254.040000 3463434.270000 0.825977 0.540000
1711865241364 1711865241395 31 329254.070000 3463434.290000 0.825977 0.620000
1711865241414 1711865241427 13 329254.100000 3463434.330000 0.825977 0.660000
1711865241464 1711865241482 18 329254.130000 3463434.360000 0.827941 0.700000
1711865241514 1711865241535 21 329254.160000 3463434.380000 0.827941 0.740000
1711865241565 1711865241585 20 329254.190000 3463434.400000 0.827941 0.780000
1711865241615 1711865241635 20 329254.210000 3463434.440000 0.827941 0.820000
1711865241665 1711865241683 18 329254.250000 3463434.470000 0.826413 0.860000
1711865241715 1711865241737 22 329254.280000 3463434.500000 0.826413 0.900000
1711865241766 1711865241782 16 329254.310000 3463434.530000 0.826413 0.920000
