pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721290783722 1721290783746 24 329058.070000 3463126.640000 -2.734276 0.000000 5C407000B 6 -89 
1721290783777 1721290783799 22 329058.070000 3463126.640000 -2.735804 0.000000 5C407000B 6 -89 
1721290783836 1721290783853 17 329058.060000 3463126.640000 -2.735804 0.000000 5C407000B 6 -89 
1721290783895 1721290783911 16 329058.060000 3463126.640000 -2.735804 0.000000 5C407000B 6 -89 
1721290783953 1721290783966 13 329058.070000 3463126.640000 -2.735804 0.000000 5C407000B 6 -89 
1721290784008 1721290784027 19 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290784063 1721290784083 20 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290784118 1721290784139 21 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290784173 1721290784194 21 329058.070000 3463126.640000 -2.732967 0.000000 5C407000B 6 -89 
1721290784228 1721290784249 21 329058.060000 3463126.640000 -2.732967 0.000000 5C407000B 6 -89 
1721290784283 1721290784299 16 329058.060000 3463126.640000 -2.732967 0.000000 5C407000B 6 -89 
1721290784338 1721290784353 15 329058.060000 3463126.640000 -2.732967 0.000000 5C407000B 6 -89 
1721290784393 1721290784409 16 329058.060000 3463126.640000 -2.734276 0.000000 5C407000B 6 -89 
1721290784452 1721290784467 15 329058.060000 3463126.640000 -2.734276 0.000000 5C407000B 6 -89 
1721290784507 1721290784522 15 329058.060000 3463126.640000 -2.734276 0.000000 5C407000B 6 -89 
1721290784562 1721290784576 14 329058.060000 3463126.640000 -2.734931 0.000000 5C407000B 6 -89 
1721290784617 1721290784634 17 329058.060000 3463126.640000 -2.734931 0.000000 5C407000B 6 -89 
1721290784672 1721290784689 17 329058.060000 3463126.640000 -2.734931 0.000000 5C407000B 6 -89 
1721290784727 1721290784744 17 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290784782 1721290784797 15 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290784837 1721290784851 14 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290784892 1721290784907 15 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290784947 1721290784963 16 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290785002 1721290785019 17 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290785058 1721290785072 14 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290785113 1721290785126 13 329058.060000 3463126.640000 -2.735585 0.000000 5C407000B 6 -89 
1721290785168 1721290785182 14 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290785223 1721290785236 13 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290785278 1721290785293 15 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290785333 1721290785349 16 329058.060000 3463126.640000 -2.733840 0.000000 5C407000B 6 -89 
1721290785388 1721290785402 14 329058.060000 3463126.640000 -2.734058 0.000000 5C407000B 6 -89 
1721290785444 1721290785459 15 329058.060000 3463126.640000 -2.734058 0.000000 5C407000B 6 -89 
1721290785503 1721290785516 13 329058.060000 3463126.640000 -2.734058 0.000000 5C407000B 6 -89 
1721290785557 1721290785574 17 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 6 -89 
1721290785613 1721290785627 14 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 6 -87 
1721290785669 1721290785684 15 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785724 1721290785739 15 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785779 1721290785792 13 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785834 1721290785847 13 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785890 1721290785904 14 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785944 1721290785957 13 329058.060000 3463126.640000 -2.735149 0.000000 5C407000B 7 -87 
1721290785999 1721290786012 13 329058.060000 3463126.640000 -2.734276 0.000000 5C407000B 7 -87 
1721290786054 1721290786067 13 329058.060000 3463126.640000 -2.734276 0.000000 5C407000B 7 -87 
