pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585268308 1689585268345 328983.610000 3463456.960000 2.535745 0.000000
1689585268358 1689585268419 328983.610000 3463456.960000 2.535745 0.000000
1689585268409 1689585268430 328983.610000 3463456.950000 2.535745 0.000000
1689585268459 1689585268505 328983.610000 3463456.950000 2.536836 0.000000
1689585268510 1689585268575 328983.610000 3463456.960000 2.536836 0.000000
1689585268560 1689585268590 328983.610000 3463456.960000 2.536836 0.000000
1689585268611 1689585268671 328983.610000 3463456.950000 2.536836 0.000000
1689585268661 1689585268683 328983.610000 3463456.960000 2.536182 0.000000
1689585268712 1689585268765 328983.610000 3463456.960000 2.536182 0.000000
1689585268763 1689585268840 328983.610000 3463456.960000 2.536182 0.000000
1689585268814 1689585268840 328983.610000 3463456.960000 2.536182 0.000000
1689585268864 1689585268916 328983.610000 3463456.960000 2.534873 0.000000
1689585268916 1689585268998 328983.610000 3463456.960000 2.534873 0.000000
1689585268966 1689585268998 328983.610000 3463456.960000 2.534873 0.000000
1689585269017 1689585269068 328983.610000 3463456.950000 2.534873 0.000000
1689585269067 1689585269142 328983.610000 3463456.960000 2.535527 0.000000
1689585269118 1689585269142 328983.610000 3463456.960000 2.535527 0.000000
1689585269118 1689585269217 328983.610000 3463456.960000 2.535527 0.000000
1689585269168 1689585269292 328983.610000 3463456.960000 2.535527 0.000000
1689585269219 1689585269292 328983.610000 3463456.960000 2.535527 0.000000
1689585269270 1689585269360 328983.610000 3463456.960000 2.536836 0.000000
1689585269321 1689585269438 328983.600000 3463456.960000 2.536836 0.000000
1689585269371 1689585269452 328983.600000 3463456.960000 2.536836 0.000000
1689585269422 1689585269520 328983.590000 3463456.960000 2.536836 0.000000
1689585269472 1689585269543 328983.590000 3463456.970000 2.536618 0.000000
1689585269524 1689585269621 328983.580000 3463456.970000 2.536618 0.000000
1689585269575 1689585269637 328983.570000 3463456.980000 2.536618 0.000000
1689585269625 1689585269709 328983.560000 3463456.980000 2.542508 0.000000
1689585269675 1689585269780 328983.550000 3463456.990000 2.542508 0.040000
1689585269725 1689585269799 328983.530000 3463457.010000 2.542508 0.180000
1689585269776 1689585269865 328983.520000 3463457.020000 2.542508 0.240000
1689585269826 1689585269948 328983.490000 3463457.030000 2.538800 0.280000
1689585269877 1689585269948 328983.490000 3463457.040000 2.538800 0.400000
1689585269927 1689585270028 328983.460000 3463457.050000 2.538800 0.440000
1689585269978 1689585270036 328983.440000 3463457.070000 2.538800 0.540000
1689585270028 1689585270112 328983.400000 3463457.100000 2.543163 0.640000
1689585270079 1689585270180 328983.360000 3463457.120000 2.543163 0.720000
1689585270130 1689585270199 328983.330000 3463457.150000 2.543163 0.820000
1689585270181 1689585270268 328983.330000 3463457.150000 2.543163 0.920000
1689585270232 1689585270352 328983.230000 3463457.210000 2.546217 0.980000
1689585270282 1689585270352 328983.220000 3463457.220000 2.546217 1.100000
1689585270333 1689585270425 328983.160000 3463457.270000 2.546217 1.140000
1689585270383 1689585270436 328983.120000 3463457.300000 2.546217 1.260000
1689585270434 1689585270510 328983.060000 3463457.330000 2.546217 1.300000
1689585270484 1689585270585 328982.980000 3463457.390000 2.540981 1.400000
1689585270535 1689585270593 328982.940000 3463457.410000 2.540981 1.480000
1689585270585 1689585270661 328982.840000 3463457.480000 2.540981 1.580000
1689585270636 1689585270737 328982.760000 3463457.540000 2.540109 1.640000
1689585270687 1689585270748 328982.690000 3463457.600000 2.540109 1.700000
1689585270737 1689585270817 328982.620000 3463457.650000 2.540109 1.780000
1689585270789 1689585270892 328982.530000 3463457.700000 2.540109 1.860000
1689585270839 1689585270915 328982.440000 3463457.770000 2.540545 1.920000
1689585270889 1689585270987 328982.360000 3463457.830000 2.540545 2.000000
1689585270941 1689585271001 328982.310000 3463457.870000 2.540545 2.060000
1689585270992 1689585271069 328982.250000 3463457.900000 2.540545 2.120000
1689585271042 1689585271148 328982.200000 3463457.940000 2.540545 2.180000
1689585271092 1689585271159 328982.070000 3463458.040000 2.532036 2.300000
1689585271144 1689585271232 328981.910000 3463458.140000 2.532036 2.360000
1689585271194 1689585271243 328981.830000 3463458.200000 2.532036 2.480000
1689585271245 1689585271317 328981.690000 3463458.300000 2.538145 2.520000
1689585271295 1689585271389 328981.570000 3463458.390000 2.538145 2.600000
1689585271346 1689585271401 328981.460000 3463458.470000 2.538145 2.680000
1689585271397 1689585271475 328981.320000 3463458.560000 2.538145 2.780000
1689585271447 1689585271490 328981.210000 3463458.650000 2.528982 2.900000
1689585271497 1689585271567 328981.130000 3463458.710000 2.528982 2.940000
1689585271548 1689585271641 328981.060000 3463458.750000 2.528982 3.020000
1689585271599 1689585271652 328980.880000 3463458.880000 2.528982 3.080000
1689585271649 1689585271720 328980.720000 3463458.990000 2.534873 3.180000
1689585271700 1689585271798 328980.600000 3463459.090000 2.534873 3.260000
1689585271751 1689585271798 328980.510000 3463459.150000 2.534873 3.320000
1689585271801 1689585271870 328980.310000 3463459.290000 2.534873 3.380000
1689585271851 1689585271946 328980.160000 3463459.390000 2.537927 3.460000
1689585271901 1689585271955 328979.990000 3463459.510000 2.537927 3.500000
1689585271953 1689585272036 328979.900000 3463459.570000 2.537927 3.580000
1689585272003 1689585272046 328979.750000 3463459.670000 2.537927 3.600000
1689585272053 1689585272120 328979.650000 3463459.740000 2.537927 3.700000
1689585272103 1689585272187 328979.410000 3463459.910000 2.540327 3.760000
1689585272154 1689585272202 328979.250000 3463460.010000 2.540327 3.820000
1689585272207 1689585272276 328979.050000 3463460.150000 2.540327 3.840000
1689585272256 1689585272350 328978.890000 3463460.260000 2.545345 3.940000
1689585272306 1689585272350 328978.720000 3463460.380000 2.545345 4.000000
1689585272357 1689585272421 328978.510000 3463460.510000 2.545345 4.060000
1689585272409 1689585272492 328978.330000 3463460.630000 2.545345 4.120000
1689585272459 1689585272507 328978.200000 3463460.730000 2.548399 4.200000
1689585272509 1689585272579 328978.090000 3463460.800000 2.548399 4.240000
1689585272560 1689585272593 328977.910000 3463460.920000 2.548399 4.300000
1689585272611 1689585272663 328977.690000 3463461.060000 2.548399 4.360000
1689585272663 1689585272733 328977.580000 3463461.140000 2.556471 4.420000
1689585272714 1689585272753 328977.290000 3463461.340000 2.556471 4.460000
1689585272764 1689585272823 328977.090000 3463461.470000 2.556471 4.580000
1689585272814 1689585272898 328976.860000 3463461.620000 2.556471 4.620000
1689585272865 1689585272907 328976.710000 3463461.730000 2.561925 4.660000
1689585272915 1689585272980 328976.470000 3463461.880000 2.561925 4.700000
1689585272966 1689585272992 328976.220000 3463462.040000 2.561925 4.780000
1689585273016 1689585273061 328976.150000 3463462.090000 2.561925 4.820000
1689585273067 1689585273137 328975.900000 3463462.260000 2.563234 4.840000
1689585273118 1689585273151 328975.740000 3463462.370000 2.563234 4.880000
1689585273168 1689585273227 328975.490000 3463462.530000 2.563234 4.940000
1689585273218 1689585273307 328975.280000 3463462.660000 2.563234 4.980000
1689585273269 1689585273307 328975.030000 3463462.840000 2.565852 5.040000
1689585273319 1689585273380 328974.860000 3463462.950000 2.565852 5.060000
1689585273370 1689585273456 328974.640000 3463463.090000 2.565852 5.100000
1689585273421 1689585273456 328974.340000 3463463.290000 2.569125 5.140000
1689585273471 1689585273525 328974.170000 3463463.420000 2.569125 5.160000
1689585273522 1689585273599 328973.910000 3463463.590000 2.569125 5.180000
1689585273572 1689585273610 328973.820000 3463463.650000 2.569125 5.240000
1689585273623 1689585273683 328973.550000 3463463.820000 2.569125 5.300000
1689585273673 1689585273698 328973.420000 3463463.910000 2.569779 5.360000
1689585273724 1689585273769 328973.060000 3463464.150000 2.569779 5.400000
1689585273775 1689585273840 328972.970000 3463464.220000 2.569779 5.440000
1689585273825 1689585273863 328972.550000 3463464.480000 2.573270 5.500000
1689585273876 1689585273938 328972.360000 3463464.610000 2.573270 5.520000
1689585273926 1689585273946 328972.080000 3463464.790000 2.573270 5.520000
1689585273977 1689585274016 328971.890000 3463464.910000 2.573270 5.580000
1689585274027 1689585274090 328971.560000 3463465.120000 2.580251 5.640000
