pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689586293422 1689586293477 328953.630000 3463476.080000 3.070907 0.000000
1689586293472 1689586293548 328953.630000 3463476.090000 3.070689 0.000000
1689586293523 1689586293563 328953.630000 3463476.090000 3.070689 0.000000
1689586293574 1689586293636 328953.630000 3463476.090000 3.070689 0.000000
1689586293625 1689586293708 328953.630000 3463476.080000 3.071998 0.000000
1689586293676 1689586293723 328953.630000 3463476.090000 3.071998 0.000000
1689586293727 1689586293793 328953.630000 3463476.090000 3.071998 0.000000
1689586293776 1689586293872 328953.630000 3463476.080000 3.071998 0.000000
1689586293827 1689586293872 328953.630000 3463476.080000 3.071779 0.000000
1689586293878 1689586293947 328953.630000 3463476.090000 3.071779 0.000000
1689586293929 1689586294021 328953.630000 3463476.090000 3.071779 0.000000
1689586293979 1689586294021 328953.630000 3463476.080000 3.071779 0.000000
1689586294029 1689586294096 328953.630000 3463476.080000 3.071779 0.000000
1689586294080 1689586294173 328953.630000 3463476.090000 3.071779 0.000000
1689586294131 1689586294173 328953.630000 3463476.080000 3.071779 0.000000
1689586294181 1689586294242 328953.630000 3463476.080000 3.071779 0.000000
1689586294232 1689586294316 328953.630000 3463476.080000 3.070252 0.000000
1689586294283 1689586294331 328953.630000 3463476.080000 3.070252 0.000000
1689586294333 1689586294400 328953.630000 3463476.080000 3.070252 0.000000
1689586294384 1689586294415 328953.630000 3463476.080000 3.070252 0.000000
1689586294435 1689586294492 328953.630000 3463476.080000 3.070689 0.000000
1689586294486 1689586294562 328953.630000 3463476.080000 3.070689 0.000000
1689586294537 1689586294577 328953.630000 3463476.080000 3.070689 0.000000
1689586294586 1689586294651 328953.630000 3463476.080000 3.070689 0.000000
1689586294638 1689586294668 328953.630000 3463476.080000 3.070689 0.000000
1689586294687 1689586294742 328953.630000 3463476.080000 3.071125 0.000000
1689586294738 1689586294818 328953.630000 3463476.080000 3.071125 0.000000
1689586294789 1689586294838 328953.630000 3463476.080000 3.071125 0.000000
1689586294840 1689586294913 328953.630000 3463476.080000 3.070907 0.000000
1689586294891 1689586294923 328953.630000 3463476.080000 3.070907 0.000000
1689586294941 1689586294996 328953.630000 3463476.080000 3.070907 0.000000
1689586294992 1689586295068 328953.630000 3463476.080000 3.070907 0.000000
1689586295043 1689586295068 328953.630000 3463476.090000 3.071343 0.000000
1689586295093 1689586295143 328953.630000 3463476.080000 3.071343 0.000000
1689586295144 1689586295223 328953.620000 3463476.080000 3.071343 0.000000
1689586295195 1689586295233 328953.620000 3463476.080000 3.071343 0.000000
1689586295246 1689586295310 328953.620000 3463476.080000 3.070689 0.000000
1689586295296 1689586295323 328953.610000 3463476.090000 3.070689 0.000000
1689586295347 1689586295402 328953.600000 3463476.080000 3.070689 0.000000
1689586295399 1689586295477 328953.590000 3463476.080000 3.070689 0.000000
1689586295449 1689586295478 328953.590000 3463476.080000 3.070470 0.000000
1689586295499 1689586295553 328953.570000 3463476.090000 3.070470 0.000000
1689586295549 1689586295637 328953.560000 3463476.090000 3.070470 0.000000
1689586295600 1689586295637 328953.540000 3463476.090000 3.070470 0.160000
1689586295650 1689586295717 328953.530000 3463476.090000 3.070252 0.240000
1689586295701 1689586295737 328953.500000 3463476.090000 3.070252 0.340000
1689586295751 1689586295807 328953.480000 3463476.090000 3.070252 0.420000
1689586295802 1689586295825 328953.440000 3463476.090000 3.070252 0.500000
1689586295853 1689586295903 328953.400000 3463476.100000 3.068943 0.600000
1689586295853 1689586295977 328953.400000 3463476.100000 3.068943 0.600000
1689586295904 1689586295977 328953.380000 3463476.100000 3.068943 0.700000
1689586295955 1689586296055 328953.330000 3463476.100000 3.068943 0.760000
1689586296006 1689586296076 328953.280000 3463476.110000 3.068943 0.880000
1689586296058 1689586296143 328953.220000 3463476.110000 3.072216 0.960000
1689586296108 1689586296218 328953.180000 3463476.110000 3.072216 1.080000
1689586296159 1689586296233 328953.130000 3463476.110000 3.072216 1.140000
1689586296210 1689586296304 328953.030000 3463476.120000 3.072216 1.260000
1689586296259 1689586296385 328952.970000 3463476.120000 3.072870 1.340000
1689586296310 1689586296385 328952.920000 3463476.120000 3.072870 1.400000
1689586296361 1689586296463 328952.820000 3463476.130000 3.072870 1.520000
1689586296411 1689586296475 328952.710000 3463476.140000 3.075270 1.560000
1689586296461 1689586296545 328952.620000 3463476.150000 3.075270 1.680000
1689586296512 1689586296622 328952.530000 3463476.150000 3.075270 1.700000
1689586296563 1689586296636 328952.470000 3463476.150000 3.075270 1.780000
1689586296613 1689586296711 328952.370000 3463476.150000 3.075270 1.860000
1689586296664 1689586296723 328952.280000 3463476.170000 3.077452 1.940000
1689586296714 1689586296792 328952.160000 3463476.180000 3.077452 1.980000
1689586296764 1689586296863 328952.050000 3463476.180000 3.077452 2.080000
1689586296815 1689586296878 328951.950000 3463476.190000 3.077452 2.120000
1689586296867 1689586297007 328951.800000 3463476.210000 3.076143 2.220000
1689586296916 1689586297007 328951.690000 3463476.220000 3.076143 2.300000
1689586296967 1689586297097 328951.640000 3463476.220000 3.076143 2.380000
1689586297017 1689586297097 328951.550000 3463476.220000 3.076143 2.460000
1689586297068 1689586297179 328951.370000 3463476.250000 3.078106 2.520000
1689586297119 1689586297187 328951.210000 3463476.260000 3.078106 2.620000
1689586297169 1689586297258 328951.070000 3463476.260000 3.078106 2.700000
1689586297220 1689586297339 328950.960000 3463476.280000 3.078106 2.760000
1689586297272 1689586297339 328950.840000 3463476.280000 3.077452 2.880000
1689586297323 1689586297410 328950.610000 3463476.300000 3.077452 2.960000
1689586297373 1689586297422 328950.450000 3463476.310000 3.077452 3.060000
1689586297424 1689586297494 328950.290000 3463476.320000 3.075488 3.140000
1689586297475 1689586297567 328950.090000 3463476.330000 3.075488 3.240000
1689586297525 1689586297577 328949.930000 3463476.350000 3.075488 3.340000
1689586297576 1689586297646 328949.750000 3463476.350000 3.075488 3.420000
1689586297626 1689586297720 328949.640000 3463476.360000 3.075488 3.540000
1689586297678 1689586297734 328949.500000 3463476.380000 3.082906 3.680000
1689586297728 1689586297801 328949.280000 3463476.380000 3.082906 3.760000
1689586297779 1689586297882 328949.170000 3463476.380000 3.082906 3.840000
1689586297831 1689586297883 328948.890000 3463476.400000 3.082906 3.960000
1689586297882 1689586297955 328948.610000 3463476.410000 3.087924 4.060000
1689586297932 1689586298037 328948.400000 3463476.420000 3.087924 4.120000
1689586297982 1689586298037 328948.230000 3463476.420000 3.087924 4.260000
1689586298033 1689586298103 328947.920000 3463476.410000 3.101232 4.360000
1689586298085 1689586298179 328947.690000 3463476.430000 3.101232 4.480000
1689586298134 1689586298193 328947.470000 3463476.430000 3.101232 4.540000
