pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721638466434 1721638466465 31 328947.700000 3463475.830000 -3.132866 7.000000 5C422503D 7 -90 
1721638466470 1721638466484 14 328947.700000 3463475.830000 -3.132866 7.000000 5C422503D 7 -90 
1721638466505 1721638466519 14 328947.420000 3463475.830000 -3.133302 6.960000 5C422503D 7 -90 
1721638466540 1721638466553 13 328947.000000 3463475.840000 -3.133302 7.020000 5C422503D 7 -90 
1721638466576 1721638466589 13 328946.650000 3463475.840000 -3.133302 6.980000 5C422503D 7 -90 
1721638466612 1721638466629 17 328946.650000 3463475.840000 -3.133302 6.980000 5C422503D 7 -90 
1721638466647 1721638466665 18 328946.230000 3463475.840000 -3.133302 6.980000 5C422503D 7 -90 
1721638466682 1721638466705 23 328945.870000 3463475.850000 -3.133739 6.980000 5C422503D 7 -90 
1721638466718 1721638466734 16 328945.870000 3463475.850000 -3.133739 6.980000 5C422503D 7 -90 
1721638466753 1721638466767 14 328945.600000 3463475.850000 -3.133739 6.940000 5C422503D 7 -90 
1721638466789 1721638466805 16 328945.390000 3463475.860000 -3.133739 6.940000 5C422503D 7 -90 
1721638466824 1721638466840 16 328944.760000 3463475.860000 -3.133739 6.940000 5C422503D 7 -90 
1721638466860 1721638466875 15 328944.760000 3463475.860000 -3.133739 6.940000 5C422503D 7 -90 
1721638466895 1721638466915 20 328944.410000 3463475.870000 -3.139629 6.920000 5C422503D 7 -90 
1721638466930 1721638466943 13 328944.070000 3463475.870000 -3.139629 6.920000 5C422503D 7 -90 
1721638466965 1721638466980 15 328944.070000 3463475.870000 -3.139629 6.920000 5C422503D 7 -90 
1721638467001 1721638467017 16 328943.780000 3463475.870000 -3.139629 6.940000 5C422503D 7 -90 
1721638467036 1721638467050 14 328943.500000 3463475.880000 -3.139629 6.920000 5C422503D 7 -90 
1721638467072 1721638467090 18 328943.500000 3463475.880000 -3.139629 6.920000 5C422503D 7 -90 
1721638467107 1721638467125 18 328943.160000 3463475.880000 -3.136793 6.920000 5C422503D 7 -90 
