pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1722584196433 1722584196458 25 329253.470000000030268 3463460.160000000149012 0.375900287648279 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375872693992804
1722584196488 1722584196508 20 329253.470000000030268 3463460.160000000149012 0.375900287648279 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375872693992804
1722584196543 1722584196559 16 329253.470000000030268 3463460.160000000149012 0.375900287648279 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375204512141971
1722584196598 1722584196614 16 329253.470000000030268 3463460.160000000149012 0.375245789178781 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375204512141971
1722584196653 1722584196669 16 329253.470000000030268 3463460.160000000149012 0.375245789178781 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375204512141971
1722584196709 1722584196728 19 329253.470000000030268 3463460.160000000149012 0.375245789178781 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.375204512141971
1722584196764 1722584196779 15 329253.470000000030268 3463460.160000000149012 0.375245789178781 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.376327299903071
1722584196819 1722584196839 20 329253.470000000030268 3463460.160000000149012 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.470213491586037 3463460.167132084257901 0.376327299903071
1722584196874 1722584196891 17 329253.470000000030268 3463460.160000000149012 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.479732950509060 3463460.166977219749242 0.376327299903071
1722584196929 1722584196949 20 329253.470000000030268 3463460.160000000149012 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.479732950509060 3463460.166977219749242 0.376327299903071
1722584196984 1722584196999 15 329253.470000000030268 3463460.160000000149012 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.479732950509060 3463460.166977219749242 0.376118645790995
1722584197039 1722584197054 15 329253.479999999981374 3463460.160000000149012 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.489252411760390 3463460.166822355240583 0.376118645790995
1722584197095 1722584197112 17 329253.489999999990687 3463460.169999999925494 0.376336619961277 0.000000000000000 5C422503D 23 -77 329253.508471671491861 3463460.177598163951188 0.376118645790995
1722584197155 1722584197169 14 329253.500000000000000 3463460.169999999925494 0.376336619961277 0.020000000000000 5C422503D 23 -77 329253.518171469797380 3463460.188528833445162 0.376954204717095
1722584197210 1722584197227 17 329253.510000000009313 3463460.180000000167638 0.376991118430775 0.140000000000000 5C422503D 23 -77 329253.537210387527011 3463460.188219104427844 0.376954204717095
1722584197265 1722584197289 24 329253.530000000027940 3463460.180000000167638 0.376991118430775 0.340000000000000 5C422503D 23 -77 329253.565949108335190 3463460.198840048164129 0.376954204717095
1722584197320 1722584197339 19 329253.559999999997672 3463460.189999999944121 0.376991118430775 0.420000000000000 5C422503D 23 -77 329253.604207285563461 3463460.209306126460433 0.376954204717095
1722584197375 1722584197394 19 329253.600000000034925 3463460.200000000186265 0.376991118430775 0.680000000000000 5C422503D 23 -77 329253.623426547390409 3463460.220081933774054 0.375547259900477
1722584197430 1722584197444 14 329253.700000000011642 3463460.250000000000000 0.375682121491779 1.020000000000000 5C422503D 23 -77 329253.700123243150301 3463460.252099627163261 0.375547259900477
1722584197485 1722584197504 19 329253.729999999981374 3463460.270000000018626 0.375682121491779 1.140000000000000 5C422503D 23 -77 329253.738561764184851 3463460.273651243653148 0.375547259900477
