pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db) currentX(m) currentY currentHeading(rad)
1722936366379 1722936366415 36 328959.280000000027940 3463474.939999999944121 -3.136138499677311 1.260000000000000 5C4225714 3 -76 328959.215037096990272 3463474.948997884057462 -3.136149687237813
1722936366434 1722936366457 23 328959.210000000020955 3463474.939999999944121 -3.136138499677311 1.260000000000000 5C4225714 3 -76 328959.138881438935641 3463474.950238942634314 -3.140078388477467
1722936366489 1722936366509 20 328959.130000000004657 3463474.950000000186265 -3.140065490494298 1.260000000000000 5C4225714 3 -76 328959.091284152586013 3463474.951014603953809 -3.140078388477467
1722936366543 1722936366561 18 328959.090000000025611 3463474.950000000186265 -3.140065490494298 1.300000000000000 5C4225714 3 -76 328959.005609034909867 3463474.952410795725882 -3.140078388477467
1722936366598 1722936366621 23 328959.000000000000000 3463474.950000000186265 -3.140065490494298 1.340000000000000 5C4225714 3 -76 328958.919933917117305 3463474.953806988429278 -3.140078388477467
1722936366653 1722936366674 21 328958.910000000032596 3463474.950000000186265 -3.140065490494298 1.360000000000000 5C4225714 3 -76 328958.843958913115785 3463474.966133595444262 -3.133816757986550
1722936366707 1722936366728 21 328958.840000000025611 3463474.959999999962747 -3.133738671955819 1.420000000000000 5C4225714 3 -76 328958.767803252674639 3463474.967374656349421 -3.133816757986550
1722936366762 1722936366782 20 328958.760000000009313 3463474.959999999962747 -3.133738671955819 1.460000000000000 5C4225714 3 -76 328958.672608677647077 3463474.968925983645022 -3.133816757986550
1722936366816 1722936366834 18 328958.669999999983702 3463474.959999999962747 -3.133738671955819 1.500000000000000 5C4225714 3 -76 328958.586933559912723 3463474.970322178676724 -3.133816757986550
1722936366871 1722936366891 20 328958.520000000018626 3463474.970000000204891 3.138101995085805 1.660000000000000 5C4225714 3 -76 328958.520297359151300 3463474.971408108714968 3.138026684128578
1722936366926 1722936366942 16 328958.410000000032596 3463474.970000000204891 3.138101995085805 1.700000000000000 5C4225714 3 -76 328958.415583324385807 3463474.973114570602775 3.138026684128578
1722936366980 1722936366999 19 328958.350000000034925 3463474.970000000204891 3.138101995085805 1.800000000000000 5C4225714 3 -76 328958.358466580742970 3463474.974045368842781 3.138026684128578
1722936367035 1722936367057 22 328958.260000000009313 3463474.970000000204891 3.138101995085805 1.880000000000000 5C4225714 3 -76 328958.139699713618029 3463474.988698977511376 -3.137352376172069
1722936367094 1722936367114 20 328958.130000000004657 3463474.979999999981374 -3.137229330459808 1.960000000000000 5C4225714 3 -76 328958.063544055505190 3463474.989940043073148 -3.137352376172069
1722936367148 1722936367165 17 328958.059999999997672 3463474.979999999981374 -3.137229330459808 2.060000000000000 5C4225714 3 -76 328957.930271648976486 3463474.992111910600215 -3.137352376172069
1722936367203 1722936367223 20 328957.929999999993015 3463474.990000000223517 -3.137229330459808 2.140000000000000 5C4225714 3 -76 328957.796999244834296 3463474.994283779524267 -3.137352376172069
1722936367257 1722936367277 20 328957.789999999979045 3463474.990000000223517 -3.137229330459808 2.220000000000000 5C4225714 3 -76 328957.701804669690318 3463474.995835114736110 3.137916955278505
1722936367312 1722936367334 22 328957.700000000011642 3463474.990000000223517 3.138101995085805 2.320000000000000 5C4225714 3 -76 328957.597090637253132 3463474.997541585937142 3.137916955278505
1722936367367 1722936367389 22 328957.590000000025611 3463474.990000000223517 3.138101995085805 2.400000000000000 5C4225714 3 -76 328957.397362687624991 3463475.011884940322489 3.137916955278505
1722936367421 1722936367440 19 328957.390000000013970 3463475.010000000242144 3.138101995085805 2.520000000000000 5C4225714 3 -76 328957.283129198011011 3463475.013746547978371 3.137916955278505
1722936367475 1722936367500 25 328957.119999999995343 3463475.010000000242144 3.137665662772806 2.700000000000000 5C4225714 3 -76 328957.121298419428058 3463475.016383827663958 3.137478074784799
1722936367529 1722936367552 23 328956.970000000030268 3463475.010000000242144 3.137665662772806 2.780000000000000 5C4225714 3 -76 328956.978506557876244 3463475.018710840959102 3.137478074784799
1722936367584 1722936367603 19 328956.890000000013970 3463475.020000000018626 3.137665662772806 2.920000000000000 5C4225714 3 -76 328956.892831439909060 3463475.020107049960643 3.137478074784799
1722936367639 1722936367661 22 328956.739999999990687 3463475.030000000260770 3.137665662772806 2.980000000000000 5C4225714 3 -76 328956.550311626866460 3463475.036777439061552 3.137374733839788
