pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1712890492066 1712890492104 38 328985.600000 3463453.980000 2.549053 0.140000
1712890492116 1712890492135 19 328985.580000 3463453.990000 2.549053 0.220000
1712890492166 1712890492190 24 328985.560000 3463454.010000 2.546872 0.220000
1712890492216 1712890492232 16 328985.540000 3463454.010000 2.546872 0.240000
1712890492266 1712890492284 18 328985.530000 3463454.020000 2.546872 0.280000
1712890492317 1712890492336 19 328985.510000 3463454.030000 2.545999 0.340000
1712890492367 1712890492391 24 328985.490000 3463454.060000 2.545999 0.380000
1712890492417 1712890492440 23 328985.460000 3463454.070000 2.545999 0.420000
1712890492467 1712890492489 22 328985.450000 3463454.090000 2.545999 0.440000
1712890492517 1712890492533 16 328985.420000 3463454.100000 2.551671 0.480000
1712890492568 1712890492592 24 328985.400000 3463454.110000 2.551671 0.520000
1712890492618 1712890492643 25 328985.380000 3463454.140000 2.551671 0.560000
1712890492668 1712890492692 24 328985.340000 3463454.160000 2.551671 0.600000
1712890492718 1712890492740 22 328985.310000 3463454.180000 2.540763 0.620000
1712890492768 1712890492792 24 328985.300000 3463454.190000 2.540763 0.660000
1712890492818 1712890492837 19 328985.260000 3463454.230000 2.540763 0.680000
1712890492868 1712890492885 17 328985.220000 3463454.250000 2.540763 0.720000
1712890492919 1712890492936 17 328985.190000 3463454.260000 2.540763 0.760000
1712890492969 1712890492993 24 328985.150000 3463454.300000 2.548399 0.800000
1712890493019 1712890493042 23 328985.120000 3463454.330000 2.548399 0.840000
1712890493069 1712890493092 23 328985.070000 3463454.350000 2.548399 0.840000
1712890493119 1712890493143 24 328985.040000 3463454.380000 2.544472 0.900000
1712890493169 1712890493193 24 328984.990000 3463454.410000 2.544472 0.920000
1712890493220 1712890493244 24 328984.960000 3463454.440000 2.544472 0.960000
1712890493270 1712890493293 23 328984.920000 3463454.470000 2.544472 1.000000
1712890493320 1712890493343 23 328984.890000 3463454.490000 2.544472 1.040000
1712890493370 1712890493394 24 328984.830000 3463454.530000 2.542072 1.080000
1712890493420 1712890493450 30 328984.780000 3463454.570000 2.542072 1.120000
1712890493470 1712890493487 17 328984.730000 3463454.600000 2.542072 1.160000
1712890493520 1712890493543 23 328984.670000 3463454.650000 2.545781 1.200000
1712890493571 1712890493595 24 328984.620000 3463454.690000 2.545781 1.240000
1712890493621 1712890493645 24 328984.560000 3463454.740000 2.545781 1.260000
1712890493671 1712890493693 22 328984.510000 3463454.760000 2.545781 1.280000
1712890493721 1712890493745 24 328984.450000 3463454.820000 2.545345 1.340000
1712890493771 1712890493795 24 328984.370000 3463454.870000 2.545345 1.380000
