pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721641125420 1721641125454 34 328945.740000 3463474.590000 2.902919 7.780000 5C4225714 2 -73 
1721641125525 1721641125548 23 328944.900000 3463474.760000 2.923426 7.780000 5C4225714 2 -73 
1721641125630 1721641125646 16 328943.970000 3463474.930000 2.923426 7.800000 5C4225714 2 -73 
1721641125734 1721641125757 23 328943.270000 3463475.050000 2.951788 7.800000 5C4225714 2 -73 
1721641125838 1721641125868 30 328942.340000 3463475.190000 2.951788 7.820000 5C4225714 2 -73 
1721641125943 1721641125966 23 328941.570000 3463475.310000 2.970987 7.820000 5C4225714 2 -73 
1721641126047 1721641126070 23 328940.940000 3463475.390000 2.970987 7.820000 5C4225714 2 -73 
1721641126152 1721641126182 30 328940.090000 3463475.500000 2.994549 7.840000 5C4225714 2 -73 
1721641126257 1721641126280 23 328939.310000 3463475.580000 2.994549 7.860000 5C4225714 2 -73 
1721641126362 1721641126381 19 328938.600000 3463475.660000 3.015056 7.840000 5C4225714 2 -73 
1721641126466 1721641126483 17 328937.580000 3463475.740000 3.015056 7.860000 5C4225714 2 -73 
1721641126571 1721641126589 18 328936.880000 3463475.810000 3.040582 7.880000 5C4225714 2 -73 
1721641126676 1721641126698 22 328935.850000 3463475.870000 3.058908 7.880000 5C4225714 2 -73 
1721641126780 1721641126801 21 328934.910000 3463475.920000 3.058908 7.900000 5C4225714 2 -73 
1721641126885 1721641126901 16 328934.120000 3463475.950000 3.080942 7.880000 5C4225714 2 -73 
1721641126990 1721641127006 16 328933.240000 3463475.980000 3.080942 7.900000 5C4225714 2 -73 
1721641127095 1721641127111 16 328932.610000 3463476.000000 3.102977 7.900000 5C4225714 2 -73 
1721641127199 1721641127217 18 328931.810000 3463476.000000 3.102977 7.900000 5C4225714 2 -73 
1721641127304 1721641127323 19 328931.020000 3463476.000000 3.123267 7.900000 5C4225714 2 -73 
1721641127409 1721641127426 17 328930.310000 3463475.990000 3.123267 7.880000 5C4225714 2 -73 
1721641127513 1721641127532 19 328929.270000 3463475.980000 -3.134611 7.900000 5C4225714 2 -73 
1721641127618 1721641127638 20 328928.480000 3463475.940000 -3.134611 7.940000 5C4225714 2 -73 
1721641127723 1721641127739 16 328927.600000 3463475.900000 -3.114540 7.940000 5C4225714 2 -73 
1721641127827 1721641127845 18 328927.280000 3463475.890000 -3.114540 7.980000 5C4225714 2 -73 
1721641127932 1721641127951 19 328926.170000 3463475.820000 -3.094687 7.940000 5C4225714 2 -73 
1721641128036 1721641128052 16 328924.970000 3463475.730000 -3.094687 7.960000 5C4225714 2 -73 
1721641128141 1721641128157 16 328924.580000 3463475.700000 -3.063707 7.980000 5C4225714 2 -73 
1721641128246 1721641128263 17 328923.620000 3463475.610000 -3.063707 7.980000 5C4225714 2 -73 
1721641128351 1721641128367 16 328922.420000 3463475.490000 -3.053890 8.020000 5C4225714 2 -73 
1721641128455 1721641128473 18 328921.540000 3463475.390000 -3.015493 8.000000 5C4225714 2 -73 
1721641128560 1721641128578 18 328920.900000 3463475.310000 -3.015493 8.020000 5C4225714 2 -73 
1721641128665 1721641128691 26 328920.110000 3463475.200000 -3.015493 8.040000 5C4225714 2 -73 
1721641128769 1721641128786 17 328919.230000 3463475.070000 -3.020292 8.040000 5C4225714 2 -73 
1721641128878 1721641128898 20 328918.430000 3463474.950000 -3.020292 8.060000 5C4225714 2 -73 
1721641128982 1721641128999 17 328917.550000 3463474.810000 -2.980804 8.060000 5C4225714 2 -73 
1721641129087 1721641129106 19 328916.820000 3463474.690000 -2.980804 8.080000 5C4225714 2 -73 
1721641129192 1721641129209 17 328915.860000 3463474.520000 -2.987349 8.100000 5C4225714 2 -73 
1721641129297 1721641129314 17 328915.220000 3463474.400000 -2.987349 8.120000 5C4225714 2 -73 
1721641129401 1721641129419 18 328914.330000 3463474.220000 -2.951352 8.140000 5C4225714 2 -73 
1721641129506 1721641129525 19 328913.530000 3463474.060000 -2.941971 8.140000 5C4225714 2 -73 
1721641129611 1721641129631 20 328912.490000 3463473.830000 -2.941971 8.220000 5C4225714 2 -73 
1721641129715 1721641129732 17 328911.760000 3463473.670000 -2.871721 8.200000 5C4225714 2 -73 
1721641129820 1721641129838 18 328910.720000 3463473.420000 -2.871721 8.220000 5C4225714 2 -73 
1721641129925 1721641129944 19 328909.920000 3463473.210000 -2.868012 8.220000 5C4225714 2 -73 
1721641130030 1721641130049 19 328909.130000 3463472.990000 -2.868012 8.240000 5C4225714 2 -73 
1721641130134 1721641130155 21 328908.250000 3463472.750000 -2.861031 8.260000 5C4225714 2 -73 
1721641130239 1721641130263 24 328907.370000 3463472.480000 -2.861031 8.280000 5C4225714 2 -73 
1721641130344 1721641130364 20 328906.650000 3463472.260000 -2.857977 8.280000 5C4225714 2 -73 
1721641130448 1721641130472 24 328906.020000 3463472.060000 -2.857977 8.280000 5C4225714 2 -73 
1721641130553 1721641130573 20 328905.230000 3463471.810000 -2.838778 8.280000 5C4225714 2 -73 
1721641130658 1721641130678 20 328904.360000 3463471.510000 -2.838778 8.260000 5C4225714 2 -73 
1721641130763 1721641130779 16 328903.580000 3463471.250000 -2.819361 8.280000 5C4225714 2 -73 
1721641130867 1721641130885 18 328902.630000 3463470.910000 -2.819361 8.300000 5C4225714 2 -73 
1721641130972 1721641130992 20 328901.770000 3463470.600000 -2.801690 8.300000 5C4225714 2 -73 
1721641131076 1721641131098 22 328901.070000 3463470.340000 -2.801690 8.300000 5C4225714 2 -73 
1721641131181 1721641131206 25 328899.990000 3463469.910000 -2.783364 8.300000 5C4225714 2 -73 
1721641131286 1721641131301 15 328899.530000 3463469.730000 -2.783364 8.320000 5C4225714 2 -73 
1721641131391 1721641131414 23 328898.370000 3463469.250000 -2.763511 8.300000 5C4225714 2 -73 
1721641131498 1721641131513 15 328897.530000 3463468.890000 -2.763511 8.300000 5C4225714 2 -73 
1721641131602 1721641131619 17 328896.700000 3463468.510000 -2.763511 8.320000 5C4225714 2 -73 
1721641131706 1721641131723 17 328895.940000 3463468.180000 -2.723586 8.300000 5C4225714 2 -73 
1721641131810 1721641131827 17 328895.340000 3463467.890000 -2.723586 8.300000 5C4225714 2 -73 
1721641131915 1721641131932 17 328894.510000 3463467.490000 -2.715950 8.280000 5C4225714 2 -73 
1721641132019 1721641132035 16 328893.760000 3463467.130000 -2.715950 8.320000 5C4225714 2 -73 
1721641132132 1721641132150 18 328893.100000 3463466.780000 -2.683880 8.320000 5C4225714 2 -73 
1721641132239 1721641132255 16 328892.280000 3463466.370000 -2.683880 8.320000 5C4225714 3 -70 
1721641132344 1721641132366 22 328891.190000 3463465.770000 -2.659664 8.320000 5C4225714 3 -70 
1721641132449 1721641132472 23 328890.680000 3463465.490000 -2.659664 8.320000 5C4225714 3 -70 
1721641132554 1721641132570 16 328889.740000 3463464.950000 -2.649628 8.300000 5C4225714 3 -70 
1721641132658 1721641132678 20 328889.020000 3463464.530000 -2.649628 8.300000 5C4225714 3 -70 
1721641132763 1721641132784 21 328888.370000 3463464.160000 -2.616467 8.300000 5C4225714 3 -70 
1721641132868 1721641132888 20 328887.520000 3463463.650000 -2.616467 8.280000 5C4225714 3 -70 
1721641132973 1721641132992 19 328886.950000 3463463.300000 -2.605558 8.320000 5C4225714 3 -70 
1721641133079 1721641133098 19 328885.960000 3463462.680000 -2.592905 8.300000 5C4225714 3 -70 
1721641133184 1721641133200 16 328885.260000 3463462.230000 -2.592905 8.300000 5C4225714 3 -70 
1721641133302 1721641133319 17 328884.910000 3463462.010000 -2.592905 8.300000 5C4225714 3 -70 
1721641133406 1721641133424 18 328883.930000 3463461.370000 -2.563452 8.300000 5C4225714 3 -70 
1721641133510 1721641133531 21 328882.950000 3463460.710000 -2.563016 8.300000 5C4225714 3 -70 
1721641133615 1721641133631 16 328882.200000 3463460.190000 -2.563016 8.300000 5C4225714 3 -70 
1721641133720 1721641133736 16 328881.590000 3463459.750000 -2.532255 8.280000 5C4225714 3 -70 
1721641133825 1721641133842 17 328880.920000 3463459.270000 -2.532255 8.280000 5C4225714 3 -70 
1721641133929 1721641133948 19 328880.050000 3463458.610000 -2.526146 8.280000 5C4225714 3 -70 
1721641134034 1721641134058 24 328879.520000 3463458.210000 -2.526146 8.320000 5C4225714 3 -70 
1721641134139 1721641134159 20 328878.800000 3463457.650000 -2.498221 8.260000 5C4225714 3 -70 
1721641134244 1721641134260 16 328878.150000 3463457.130000 -2.498221 8.260000 5C4225714 3 -70 
1721641134348 1721641134365 17 328877.630000 3463456.710000 -2.466368 8.260000 5C4225714 3 -70 
1721641134453 1721641134478 25 328876.750000 3463455.970000 -2.466368 8.280000 5C4225714 3 -70 
1721641134558 1721641134574 16 328876.230000 3463455.540000 -2.452188 8.280000 5C4225714 3 -70 
1721641134663 1721641134680 17 328875.660000 3463455.060000 -2.452188 8.260000 5C4225714 3 -70 
1721641134768 1721641134785 17 328874.980000 3463454.460000 -2.430589 8.260000 5C4225714 3 -70 
1721641134873 1721641134891 18 328874.350000 3463453.910000 -2.430589 8.260000 5C4225714 3 -70 
1721641134977 1721641135004 27 328873.420000 3463453.070000 -2.413790 8.300000 5C4225714 3 -70 
1721641135082 1721641135101 19 328872.690000 3463452.390000 -2.398737 8.280000 5C4225714 3 -70 
1721641135187 1721641135206 19 328872.450000 3463452.170000 -2.398737 8.280000 5C4225714 3 -70 
1721641135292 1721641135310 18 328871.420000 3463451.200000 -2.384120 8.260000 5C4225714 3 -70 
1721641135400 1721641135418 18 328870.890000 3463450.680000 -2.384120 8.280000 5C4225714 3 -70 
1721641135505 1721641135522 17 328870.350000 3463450.160000 -2.368848 8.280000 5C4225714 3 -70 
1721641135610 1721641135628 18 328869.880000 3463449.700000 -2.368848 8.280000 5C4225714 3 -70 
1721641135715 1721641135735 20 328869.180000 3463448.990000 -2.348777 8.260000 5C4225714 3 -70 
1721641135819 1721641135836 17 328868.590000 3463448.400000 -2.348777 8.240000 5C4225714 3 -70 
1721641135936 1721641135952 16 328867.850000 3463447.630000 -2.340268 8.240000 5C4225714 3 -70 
1721641136040 1721641136058 18 328867.290000 3463447.020000 -2.340268 8.260000 5C4225714 3 -70 
1721641136145 1721641136166 21 328866.890000 3463446.600000 -2.332851 8.260000 5C4225714 3 -70 
1721641136250 1721641136267 17 328866.280000 3463445.930000 -2.332851 8.260000 5C4225714 3 -70 
1721641136355 1721641136373 18 328865.500000 3463445.070000 -2.314525 8.240000 5C4225714 3 -70 
1721641136460 1721641136479 19 328864.780000 3463444.260000 -2.292054 8.260000 5C4225714 3 -70 
1721641136569 1721641136585 16 328864.290000 3463443.700000 -2.292054 8.240000 5C4225714 3 -70 
1721641136673 1721641136691 18 328863.700000 3463443.010000 -2.277000 8.260000 5C4225714 3 -70 
1721641136778 1721641136798 20 328863.210000 3463442.440000 -2.277000 8.280000 5C4225714 3 -70 
1721641136882 1721641136899 17 328862.680000 3463441.810000 -2.277000 8.240000 5C4225714 3 -70 
1721641136987 1721641137005 18 328862.090000 3463441.120000 -2.270673 8.240000 5C4225714 3 -70 
1721641137092 1721641137112 20 328861.560000 3463440.490000 -2.269801 8.240000 5C4225714 3 -70 
1721641137196 1721641137213 17 328861.080000 3463439.910000 -2.269801 8.240000 5C4225714 3 -70 
1721641137301 1721641137320 19 328860.450000 3463439.150000 -2.254093 8.180000 5C4225714 3 -70 
1721641137406 1721641137424 18 328860.020000 3463438.640000 -2.254093 8.240000 5C4225714 3 -70 
1721641137511 1721641137530 19 328859.270000 3463437.750000 -2.259547 8.240000 5C4225714 3 -70 
1721641137615 1721641137636 21 328858.960000 3463437.370000 -2.259547 8.240000 5C4225714 3 -70 
1721641137720 1721641137738 18 328858.070000 3463436.290000 -2.253002 8.240000 5C4225714 3 -70 
1721641137825 1721641137844 19 328857.530000 3463435.650000 -2.253002 8.240000 5C4225714 3 -70 
1721641137930 1721641137950 20 328856.960000 3463434.950000 -2.240130 8.220000 5C4225714 3 -70 
1721641138034 1721641138051 17 328856.430000 3463434.320000 -2.240130 8.200000 5C4225714 3 -70 
1721641138139 1721641138156 17 328856.220000 3463434.050000 -2.245366 8.180000 5C4225714 3 -70 
1721641138244 1721641138269 25 328855.540000 3463433.230000 -2.245366 8.180000 5C4225714 3 -70 
1721641138349 1721641138365 16 328854.970000 3463432.530000 -2.244275 8.180000 5C4225714 3 -70 
