pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721810124672 1721810124711 39 329233.470000 3463453.100000 0.486292 1.920000 5C4225714 10 -59 
1721810124726 1721810124742 16 329233.550000 3463453.130000 0.486292 2.060000 5C4225714 10 -59 
1721810124782 1721810124802 20 329233.690000 3463453.210000 0.486292 2.260000 5C4225714 10 -59 
1721810124837 1721810124857 20 329233.790000 3463453.260000 0.484983 2.420000 5C4225714 10 -59 
1721810124892 1721810124911 19 329233.920000 3463453.330000 0.484983 2.600000 5C4225714 10 -59 
1721810124947 1721810124964 17 329234.070000 3463453.400000 0.484983 2.740000 5C4225714 10 -59 
1721810125002 1721810125018 16 329234.210000 3463453.470000 0.484983 2.960000 5C4225714 10 -59 
1721810125057 1721810125078 21 329234.210000 3463453.470000 0.484983 3.100000 5C4225714 10 -59 
1721810125112 1721810125133 21 329234.630000 3463453.670000 0.486292 3.440000 5C4225714 10 -59 
1721810125167 1721810125187 20 329234.790000 3463453.750000 0.486292 3.680000 5C4225714 10 -59 
1721810125222 1721810125240 18 329234.970000 3463453.830000 0.480402 3.800000 5C4225714 10 -59 
1721810125281 1721810125299 18 329235.180000 3463453.940000 0.480402 4.020000 5C4225714 10 -59 
1721810125337 1721810125360 23 329235.370000 3463454.030000 0.480402 4.220000 5C4225714 10 -59 
1721810125391 1721810125414 23 329235.570000 3463454.120000 0.480402 4.360000 5C4225714 10 -59 
1721810125446 1721810125470 24 329235.820000 3463454.230000 0.474075 4.600000 5C4225714 10 -59 
1721810125501 1721810125525 24 329236.040000 3463454.340000 0.474075 4.800000 5C4225714 10 -59 
1721810125557 1721810125574 17 329236.260000 3463454.440000 0.474075 4.960000 5C4225714 10 -59 
1721810125612 1721810125633 21 329236.400000 3463454.500000 0.474075 5.200000 5C4225714 10 -59 
1721810125667 1721810125686 19 329236.940000 3463454.740000 0.466439 5.520000 5C4225714 10 -59 
1721810125722 1721810125739 17 329237.190000 3463454.860000 0.466439 5.680000 5C4225714 10 -59 
1721810125781 1721810125798 17 329237.510000 3463455.000000 0.466439 5.920000 5C4225714 10 -59 
1721810125836 1721810125852 16 329237.730000 3463455.100000 0.455749 6.100000 5C4225714 10 -59 
1721810125891 1721810125911 20 329238.070000 3463455.260000 0.455749 6.340000 5C4225714 10 -59 
1721810125946 1721810125965 19 329238.430000 3463455.410000 0.455749 6.500000 5C4225714 10 -59 
1721810126002 1721810126019 17 329238.600000 3463455.490000 0.455749 6.720000 5C4225714 10 -59 
1721810126057 1721810126074 17 329238.920000 3463455.620000 0.448113 6.860000 5C4225714 10 -59 
1721810126112 1721810126128 16 329239.230000 3463455.760000 0.448113 7.100000 5C4225714 10 -59 
1721810126168 1721810126195 27 329239.490000 3463455.880000 0.448113 7.240000 5C4225714 10 -59 
